subID,B_prediction,B_prediction_z
2,0.4761904761904762,-0.297184677
3,0.5952380952380952,1.171913282004524
4,0.5476190476190476,0.9465784873916332
5,0.37575757575757573,-1.726422327
7,0.4047619047619048,-1.165714272
8,0.4523809523809524,-0.93650679
10,0.5,-0.409532581
13,0.5952380952380952,1.8648627158560498
14,0.5952380952380952,1.3215725505310594
15,0.42857142857142855,-0.930585858
17,0.5238095238095238,0.4950109153015902
20,0.6666666666666666,1.9332150523489924
21,0.5238095238095238,0.526456512
23,0.4523809523809524,-0.603751799
24,0.5476190476190476,0.8879786233147542
28,0.5714285714285715,0.8653485640929545
29,0.5476190476190476,0.638148873
30,0.3703703703703704,-1.641380733
31,0.5,-0.009731846
32,0.6428571428571429,1.848234593346497
33,0.4523809523809524,-0.591842558
34,0.5,-0.057577741
36,0.4761904761904762,-0.256078846
37,0.5,0.018107553
38,0.5238095238095238,0.3241241490480845
39,0.42857142857142855,-0.859872351
40,0.4761904761904762,-0.270621199
41,0.6428571428571429,1.6759174747317926
42,0.5952380952380952,1.131231083046705
43,0.4523809523809524,-0.884528103
44,0.42857142857142855,-1.383579817
45,0.5238095238095238,0.5486381830886826
46,0.5,-0.07495753
47,0.5476190476190476,0.9552022689637248
48,0.45054945054945056,-0.668067897
49,0.4761904761904762,-0.33274796
50,0.6428571428571429,1.835461235963937
51,0.5018315018315018,-0.002275117
52,0.5,-0.033356154
53,0.4761904761904762,-0.387863081
54,0.4285714285714286,-0.863684482
55,0.5238095238095238,0.5081602498158341
56,0.5714285714285714,0.8034629947672601
57,0.5,0.019958628723659527
58,0.4523809523809524,-1.005917624
59,0.4047619047619047,-1.121273616
60,0.4761904761904762,-0.384920574
61,0.5256410256410257,0.7060920078196579
62,0.5,0.037372554
63,0.5238095238095238,0.28652280356200294
64,0.5238095238095238,0.4555283814258164
65,0.5238095238095238,0.2122337955852907
66,0.4761904761904762,-0.209330425
68,0.3956043956043956,-1.245695063
69,0.4047619047619048,-1.647180118
71,0.4761904761904762,-0.277672443
72,0.4761904761904762,-0.45232275
73,0.5238095238095238,0.30009266
74,0.4761904761904762,-0.333976144
75,0.5476190476190476,0.8577494054639462
76,0.4761904761904762,-0.322097341
77,0.4761904761904762,-0.271358896
78,0.5238095238095238,0.31446927308939226
79,0.5,0.014057301776212372
80,0.38095238095238093,-1.576176651
81,0.5,0.054543217
82,0.5714285714285715,1.3658874319367444
83,0.5476190476190477,0.5778649636152138
84,0.4523809523809524,-0.552995047
85,0.5,0.010948832492719461
86,0.4285714285714286,-0.820936841
87,0.5952380952380952,1.2159430849585107
88,0.5534188034188036,0.46657054136325615
89,0.4523809523809524,-1.057382493
90,0.4761904761904762,-0.291770041
91,0.42857142857142855,-1.428258247
92,0.5970695970695971,1.0824993242342589
93,0.5238095238095238,0.7285663841478581
94,0.4523809523809524,-1.010640129
95,0.4761904761904762,-0.353706225
96,0.42857142857142855,-0.885815503
98,0.5476190476190476,0.6007658522531133
100,0.38095238095238093,-4.483649991
101,0.5,-0.032964848
103,0.5494505494505495,0.7277568685829745
104,0.5,-0.415347466
105,0.5952380952380952,1.1642414302042852
106,0.39743589743589736,-1.215351734
