subid,run,TR,trialtype,match_coherence,nonmatch_coherence
60,scene4,8,A1,0.05728406956398736,-0.05089733704807383
60,scene4,44,A1,0.015154140831063917,0.016648071870661956
60,scene4,60,A1,-0.12167780555666019,-0.04615495319767336
60,scene4,106,A1,-0.09606076252404973,-0.00476716740309139
60,scene4,160,A1,-0.0022123945320099377,0.013502040188651837
60,scene4,179,A1,0.008987513702385068,-0.07537674151475905
60,scene4,226,A1,-0.106397252447908,0.0338549520159964
60,scene4,17,A2,-0.00450574096139902,0.005079492005404446
60,scene4,36,A2,0.047365539851720075,0.016410809673523506
60,scene4,97,A2,-0.11161953094195314,-0.019085310679543385
60,scene4,130,A2,0.05216631677439718,0.00775479178235125
60,scene4,141,A2,-0.00044989984222146864,-0.033896265743479856
60,scene4,149,A2,0.04073703130280644,-0.01939114342421879
60,scene4,200,A2,0.0369201807497499,0.005955816177297886
60,scene4,25,A3,-0.006239600023592834,-0.026197226087739462
60,scene4,52,A3,-0.013714984262534051,-0.015037955523411377
60,scene4,69,A3,0.0400717517359284,-0.03803190743213075
60,scene4,82,A3,0.020002766259863553,-0.008622314646729677
60,scene4,165,A3,-0.013741674974234121,0.022816172530864594
60,scene4,220,A3,-0.06484406318288323,-0.008072221164286863
60,scene4,233,A3,-0.04478527739575073,0.08568108498823289
