subid,run,TR,trialtype,match_coherence,nonmatch_coherence
87,scene2,11,X1,0.0019285746354942386,-0.008036298646329414
87,scene2,44,X1,-0.015009516902817177,0.006235630813023574
87,scene2,83,X1,0.005815512990857408,-0.016628800418330113
87,scene2,95,X1,-0.023476049195663377,-0.0032787367355915607
87,scene2,128,X1,-0.03492193512477822,0.014040660585727092
87,scene2,186,X1,-0.01974436090469182,-0.008063601115280183
87,scene2,214,X1,0.009755193562498266,0.005459969665453176
87,scene2,8,X2,0.0023008176277736305,0.0011371343598816548
87,scene2,76,X2,-0.038051208085132196,-0.0031541447196075977
87,scene2,85,X2,-0.04353139189699981,-0.018802877677677524
87,scene2,132,X2,0.013788595484774386,-0.02359064073259322
87,scene2,141,X2,-0.05185742272984112,-0.003229838356524164
87,scene2,175,X2,-0.013260510030332968,-0.0020782724535356135
87,scene2,192,X2,0.02734472644506068,0.014127129251201754
87,scene2,61,X3,-0.03227692552537043,0.011811300200190536
87,scene2,68,X3,-0.01846917172516051,-0.00491998400316131
87,scene2,105,X3,-0.009849460545175848,0.004822881127880104
87,scene2,152,X3,-0.051304162610586845,-0.009610874568285
87,scene2,160,X3,0.021151237479906368,0.003106740184355097
87,scene2,183,X3,-0.006764682703125839,-0.0032499092730436815
87,scene2,188,X3,0.010346253692674112,-0.016451983330952345
87,scene2,18,X4,0.026994265718289643,-0.014933610739763407
87,scene2,35,X4,-0.027537084887776533,-0.004726705549201752
87,scene2,46,X4,0.014708969302955626,-0.006039868141134294
87,scene2,93,X4,-0.003952212787047635,0.013223984137840697
87,scene2,116,X4,-0.00048362995045840633,-0.011027368728970397
87,scene2,148,X4,-0.030616681482338915,-0.016324214160523792
87,scene2,226,X4,0.010011824168080786,0.0003853840195855274
87,scene2,50,X5,-0.00182601266292706,-0.009161845353701056
87,scene2,109,X5,-0.027275978679098516,0.001819038349413741
87,scene2,119,X5,-0.021525106840135862,0.018606605924132325
87,scene2,130,X5,-0.036751186875581585,-0.008258965669350148
87,scene2,146,X5,-0.01642337187313805,0.012273721093639342
87,scene2,169,X5,-0.01457509151643662,0.013506013071683151
87,scene2,217,X5,-0.0065059671133316,-0.006011689049895562
87,scene2,65,X6,0.011324009797978657,-0.01574566387252128
87,scene2,144,X6,0.00913084362373844,0.00853460139658445
87,scene2,150,X6,-0.06513382863221834,-0.007449642725743006
87,scene2,173,X6,0.05876538073915765,-0.0011514393407263048
87,scene2,211,X6,0.018360280661375003,-0.02055714808672976
87,scene2,219,X6,0.03139645296124277,-0.040077781795450525
87,scene2,229,X6,-0.010437210943827371,0.0012170534958024868
