subid,run,TR,trialtype,match_coherence,nonmatch_coherence
74,scene4,19,B1,0.07687369227322056,0.024123805392066374
74,scene4,28,B1,-0.12200948944604112,0.026139954891045983
74,scene4,48,B1,0.0030271418321859652,-0.027167403395751123
74,scene4,117,B1,0.07328468912896992,0.000719109642341525
74,scene4,133,B1,0.026080268482698166,-0.0009563270774351091
74,scene4,199,B1,0.02403695865644183,-0.02885685352039691
74,scene4,227,B1,0.029878733272702174,-0.034120476943145094
74,scene4,13,B2,0.08734963564223373,0.05173820324196814
74,scene4,44,B2,0.030963361275819074,-0.01476110783777874
74,scene4,62,B2,0.0012201661294753488,-0.014485990846863703
74,scene4,73,B2,-0.018280680828907266,0.017584460875678623
74,scene4,83,B2,0.0070520293838197,-0.008845533262099
74,scene4,94,B2,-0.011067047744198142,0.023818756107554944
74,scene4,180,B2,0.020933913642617177,0.02749362140056083
74,scene4,77,B3,-0.017306307411363957,-0.06163912625238661
74,scene4,105,B3,-0.1260028314673616,0.03654875367938045
74,scene4,191,B3,-0.10682289870399456,-0.07058718922203325
74,scene4,218,B3,-0.07231587285797308,0.037246852040837684
74,scene4,235,B3,-0.04052333442952655,-0.04438278667274455
