subid,run,TR,trialtype,match_coherence,nonmatch_coherence
50,scene3,56,B1,-0.03790801288554904,-0.02180514605260474
50,scene3,81,B1,0.008200122343735789,0.012909635021367502
50,scene3,110,B1,-0.000335174205117722,-0.022675667258590722
50,scene3,161,B1,-0.0036752621885428904,-0.03617932137625527
50,scene3,188,B1,0.010925855105092567,-0.02710881021009341
50,scene3,225,B1,-0.04010816143694703,-0.011235754995732618
50,scene3,234,B1,-0.03457820257530617,0.02212699641115035
50,scene3,23,B2,0.04331965511240545,-0.013794580718425096
50,scene3,38,B2,0.09416173167075005,-0.024995532074607387
50,scene3,119,B2,-0.013513096309630407,-0.00331713746059589
50,scene3,171,B2,0.01978439400733439,0.01165391211658684
50,scene3,180,B2,0.024075601624233788,-0.0020715546348825504
50,scene3,203,B2,0.0013823287369483783,-0.009764450904556752
50,scene3,215,B2,-0.00389198001943818,-0.018115648219973874
50,scene3,65,B3,0.007256699031842566,-0.029168144602496
50,scene3,74,B3,-0.00675836028051578,0.0009209164757157374
50,scene3,136,B3,-0.008227078191717576,-0.026829019108618374
50,scene3,165,B3,0.022029936202459268,-0.0073840316011802
50,scene3,198,B3,-0.01325831365484592,0.0004910218513017901
50,scene3,221,B3,0.020998230007376995,-0.01517563761091442
50,scene3,239,B3,0.019423755266513357,0.019088340012834718
