subid,run,TR,trialtype,match_coherence,nonmatch_coherence
96,scene3,77,B1,-0.00579650438077763,0.006721960841381989
96,scene3,85,B1,0.0026700016662498404,-0.012295239676003879
96,scene3,121,B1,-0.010619132596316416,0.005975687292273682
96,scene3,168,B1,0.008345983106811389,0.03977860588603744
96,scene3,222,B1,-0.005021936070847117,-0.0008326479509119931
96,scene3,232,B1,-0.002693248873651096,-0.010217063402837321
96,scene3,239,B1,-0.03505321472688979,-0.027320835378076107
96,scene3,38,B2,0.02387312307243453,0.02292227010261767
96,scene3,52,B2,0.03668650168406696,-0.0216041222847425
96,scene3,68,B2,0.035656722326501085,-0.002568881037213986
96,scene3,131,B2,0.06311881201697997,-0.002162048437562369
96,scene3,160,B2,0.03329953020735837,0.001982331154971684
96,scene3,188,B2,0.043894571501874834,-0.0026276928841316815
96,scene3,197,B2,0.008017781322445678,-0.029177064343890002
96,scene3,23,B3,-0.0324562431125202,-0.012209738325752891
96,scene3,59,B3,-0.010320018362950979,-0.023085999503068277
96,scene3,94,B3,-0.00466571287471148,-0.019208559674698502
96,scene3,112,B3,0.014006523468619967,0.002890997528442365
96,scene3,142,B3,0.015578179459789086,0.013004488026418926
96,scene3,183,B3,-0.003932061655545452,0.007103792638232377
96,scene3,205,B3,0.016552559910681348,-0.025786571803327284
