subid,run,TR,trialtype,match_coherence,nonmatch_coherence
76,scene4,15,B1,-0.05877402076364933,0.03259664120245482
76,scene4,25,B1,0.03804429745611506,0.024846241671331124
76,scene4,39,B1,-0.030426516701025547,0.0020879755621493875
76,scene4,59,B1,0.029990592234924954,-0.020628955698761036
76,scene4,98,B1,-0.06140854947451441,0.0009409540574229555
76,scene4,188,B1,0.04657010651657473,0.00843851970867296
76,scene4,200,B1,0.027079743101509655,0.007983925199853604
76,scene4,44,B2,-0.011403084735810788,0.03433017125897406
76,scene4,91,B2,-0.025277547660930124,-0.028451092142244224
76,scene4,113,B2,0.009321296838981549,0.05944046854558337
76,scene4,137,B2,-0.018696394875669767,-0.02563669777251534
76,scene4,153,B2,-0.0037271262127440605,-0.014908608701249854
76,scene4,173,B2,-0.030242065812149183,0.029836831424780146
76,scene4,236,B2,-0.0935749663702749,-0.023478881575291145
76,scene4,11,B3,-0.018633782467097237,-0.007668291263084865
76,scene4,71,B3,0.05455125895812193,0.050094549879461
76,scene4,83,B3,-0.04003798514215518,-0.006653548311336509
76,scene4,131,B3,0.01614494346983037,-0.0030754952968800988
76,scene4,157,B3,0.0020421731080512984,0.05493718459637066
76,scene4,177,B3,-0.04503215943553326,-0.0010324855886456477
76,scene4,216,B3,-0.024797615767018815,0.03562886953433052
