subid,run,TR,trialtype,match_coherence,nonmatch_coherence
90,scene3,10,X1,0.03216589878395385,-0.06156633708012638
90,scene3,21,X1,0.02214166382404525,-0.004429196225621961
90,scene3,55,X1,-0.024544430057222854,-0.0246630940811293
90,scene3,139,X1,-0.06661072870501293,0.04117276427843099
90,scene3,173,X1,0.014461512433857236,-0.00017058152735063327
90,scene3,183,X1,-0.02458090053083764,-0.04017770941987885
90,scene3,207,X1,0.0008478687767433704,0.016820541175845197
90,scene3,82,X2,0.04635470172010416,0.04003075801525858
90,scene3,88,X2,-0.024567999626938408,-0.027901482046597575
90,scene3,99,X2,-0.022249404313661927,0.013409130204286024
90,scene3,123,X2,-0.013896681192255284,0.013026005940117113
90,scene3,165,X2,-0.0025607981249808065,0.0074622241904751105
90,scene3,187,X2,-0.0422162450693278,0.002372421543529471
90,scene3,195,X2,-0.0589981529990562,0.0003313529701686748
90,scene3,86,X3,-0.007147982295048813,0.003463063677335998
90,scene3,104,X3,-0.03257012502741003,-0.016653205158354414
90,scene3,121,X3,0.005217481555141466,0.008150530309708458
90,scene3,127,X3,-0.035855955973086114,-0.011590965854135334
90,scene3,155,X3,-0.02787787026691511,0.015933889050848936
90,scene3,171,X3,-0.06513270692251229,0.005907034521236302
90,scene3,191,X3,-0.007398809739732014,0.03142357425212438
90,scene3,8,X4,0.15929644075153404,-0.0008334404806752768
90,scene3,12,X4,0.015176131921011091,-0.03564689505732614
90,scene3,39,X4,0.018145845605644646,-0.0033014206482161468
90,scene3,157,X4,0.029873573828451735,-0.028733506356767236
90,scene3,168,X4,-0.01811010026230622,0.008446686579152016
90,scene3,181,X4,-0.10145566289451767,0.005969285110492048
90,scene3,223,X4,-0.0005869513587911379,-0.02929146390710957
90,scene3,29,X5,-0.018557675469026112,-0.00921584740407259
90,scene3,48,X5,0.024128129077170497,-0.02715450156491103
90,scene3,59,X5,0.02554110960995894,-0.020191750172228483
90,scene3,73,X5,0.012409517149982702,-0.019670606231906893
90,scene3,96,X5,0.05284002781491083,0.022193322021548067
90,scene3,143,X5,0.08031092369402507,0.013559100584028093
90,scene3,46,X6,-0.0713044184459473,0.023087971788536794
90,scene3,118,X6,-0.05559728603098565,-0.03184819148944055
90,scene3,130,X6,0.027233389714040917,0.01305110317434028
90,scene3,147,X6,0.08634165907344783,-0.03636954895880388
90,scene3,193,X6,0.041602937595596,-0.010305261401160795
90,scene3,198,X6,0.09752547639619852,-0.03517719877946588
90,scene3,209,X6,0.10823633909494397,-0.00458970099393645
