subid,run,TR,trialtype,match_coherence,nonmatch_coherence
69,scene3,43,B1,-0.012228236616637236,-0.005728558824809029
69,scene3,95,B1,-0.025853807385078396,-0.0278993053897881
69,scene3,106,B1,-0.01028639126958106,-0.0026852429303536826
69,scene3,147,B1,-0.009082321141784096,-0.011655315671929579
69,scene3,163,B1,-0.00428827326943886,0.027585954111116202
69,scene3,193,B1,-0.05279606013696495,-0.0010279444251571495
69,scene3,239,B1,0.01168516653556075,-0.013687292058281625
69,scene3,59,B2,-0.01735594733689533,0.01759432368013178
69,scene3,87,B2,0.011797292460079106,0.0066030638249966475
69,scene3,135,B2,-0.04462845739607183,0.01768910582314159
69,scene3,153,B2,0.03229139926707594,0.004762682407624086
69,scene3,176,B2,-0.0031771850298812888,-0.004438475964777045
69,scene3,207,B2,0.0173440796342532,0.011243727000308719
69,scene3,225,B2,0.027168580573440456,0.008160969539046438
69,scene3,13,B3,-0.060684441982890934,0.01802811417142139
69,scene3,22,B3,-0.04847955694822167,-0.009831083854763922
69,scene3,34,B3,0.012319764678124323,-0.01082505982011281
69,scene3,53,B3,-0.01679652859755338,-0.037102766549361996
69,scene3,67,B3,-0.0025926447520952553,-0.027883457597900778
69,scene3,183,B3,-0.004502785271238752,0.003767306068636972
69,scene3,197,B3,-0.024301406138160134,0.008196244843369001
