subid,run,TR,trialtype,match_coherence,nonmatch_coherence
20,scene3,39,B1,-0.009806314019019423,0.014463161228111058
20,scene3,93,B1,-0.028743742452418067,-0.016132741522770437
20,scene3,117,B1,-0.02780536142153156,0.015580426286954706
20,scene3,142,B1,-0.024783307133885144,-0.027729018936758627
20,scene3,191,B1,0.0032738130161144535,0.034909944082581516
20,scene3,211,B1,-0.05367551045556527,-0.012485635158841922
20,scene3,239,B1,-0.030418036993886413,-0.035896433811027695
20,scene3,48,B2,-0.06829064178786191,-0.04010600181061664
20,scene3,74,B2,0.05348069655517145,-0.005257121357808013
20,scene3,129,B2,0.04228244218203259,-0.006786146079723269
20,scene3,167,B2,0.054857447573913365,-0.008147289179694548
20,scene3,207,B2,0.05229570367768709,-0.022210136798149687
20,scene3,215,B2,0.07320802622883467,-0.012755624997963622
20,scene3,224,B2,0.024764519726280566,-0.016243380921951378
20,scene3,53,B3,0.002606853962474022,0.022841540110181024
20,scene3,79,B3,0.020099530996056936,-0.004931525022094161
20,scene3,107,B3,-0.041557131920618204,-0.023117363209562033
20,scene3,147,B3,0.037455520680445116,-0.00989680407668733
20,scene3,174,B3,-0.015886541453489538,-0.03934425247525015
20,scene3,182,B3,-0.001802147616764146,0.022909760396709878
20,scene3,232,B3,-0.0016030000597028725,-0.01196641633011762
