subid,run,TR,trialtype,match_coherence,nonmatch_coherence
36,scene4,14,B1,-0.0006487749505411621,-0.016009838091849433
36,scene4,50,B1,-0.04385016096806114,0.010701484918520592
36,scene4,77,B1,-0.004450202193907997,-0.03050689772333324
36,scene4,121,B1,-0.0013226464792548246,-0.025564551212598367
36,scene4,162,B1,-0.009010298078853235,0.030537811256621823
36,scene4,180,B1,0.011921031005114482,-0.029242128494732105
36,scene4,221,B1,-0.014372512251682157,-0.0050961533788793185
36,scene4,65,B2,0.003859047348821134,0.003948564362848206
36,scene4,89,B2,0.020560090060271822,-0.043074272626895886
36,scene4,142,B2,-0.019492971138471822,-0.013886932261759011
36,scene4,157,B2,-0.002934583732183832,0.0018729000278821805
36,scene4,194,B2,-0.030419908562767762,-0.013186104294603037
36,scene4,215,B2,0.025273590578458526,-0.027513441885933087
36,scene4,243,B2,-0.05425725053621961,0.01249202058177451
36,scene4,72,B3,-0.043960085756874816,-0.021729161211738377
36,scene4,85,B3,0.012546082417609057,0.009332286715174734
36,scene4,105,B3,-0.02142355781315448,-0.012137219948711642
36,scene4,114,B3,0.00981718026703423,-0.020491878344286292
36,scene4,174,B3,0.028686148016457816,-0.001831774190351346
36,scene4,190,B3,0.011009441096034434,0.0013281110846879083
36,scene4,232,B3,-0.0068101363550498615,0.004391456700130394
