subid,run,TR,trialtype,match_coherence,nonmatch_coherence
31,scene2,31,B1,-0.07180000795335141,-0.027542929573206
31,scene2,50,B1,-0.08694709636838098,-0.007608760794521528
31,scene2,72,B1,0.05636537428171542,0.01477254606457859
31,scene2,120,B1,-0.11235124805746456,0.07524166914108406
31,scene2,132,B1,-0.003150887951703582,-0.016406901879299753
31,scene2,174,B1,0.07682212474298401,0.06292203231364325
31,scene2,193,B1,-0.015626067562632556,0.10217883581111124
31,scene2,11,B2,-0.043357817520510634,0.082153723803677
31,scene2,36,B2,0.04808035824196327,0.07283362660680084
31,scene2,63,B2,-0.019179486631162198,-0.036014503573686255
31,scene2,102,B2,-0.01761431312067543,0.05065899650975358
31,scene2,198,B2,0.03785371335503505,0.031759520748693114
31,scene2,215,B2,0.08604803874861074,0.022071490317658267
31,scene2,230,B2,0.07099071198729184,0.04733986837686629
31,scene2,25,B3,-0.13121139383530714,-0.03892870405704173
31,scene2,55,B3,0.06442975395368988,0.06219351856998101
31,scene2,81,B3,0.008776070553902407,-0.014366635125393675
31,scene2,143,B3,0.048825540851111855,-0.010699622765920685
31,scene2,164,B3,0.1306582431525489,0.0522786133545361
31,scene2,189,B3,-0.11709493300070861,-0.01078818831086104
31,scene2,206,B3,0.021782725774291137,0.03672078952438014
