subid,run,TR,trialtype,match_coherence,nonmatch_coherence
2,scene2,45,B1,0.048977909762332315,0.002303426086495912
2,scene2,65,B1,0.07582390930979332,0.029700986967570845
2,scene2,102,B1,-0.06845588766610929,-0.03460672902693038
2,scene2,140,B1,0.06857329570637004,0.00209270218550258
2,scene2,160,B1,0.020341115342952007,0.025027234846749374
2,scene2,212,B1,0.007076638521131361,0.019196372880705966
2,scene2,233,B1,0.0013059351572710497,0.03317316744805307
2,scene2,33,B2,0.013593183480556973,-0.02558774815587441
2,scene2,56,B2,0.03493357696029853,-0.05048390505890581
2,scene2,98,B2,-0.0005315507749747104,0.053682246195913726
2,scene2,167,B2,-0.12328317845427883,-0.043159094759630354
2,scene2,179,B2,-0.011767428067529123,0.029532969536964857
2,scene2,195,B2,-0.032814983733800665,0.002529660252121848
2,scene2,223,B2,-0.010696938500121952,-0.001169083086915273
2,scene2,74,B3,-0.07912303163551236,0.010669781144517344
2,scene2,84,B3,0.01218665646107217,-0.037961800071150985
2,scene2,122,B3,0.051474605033457355,-0.043817731450838164
2,scene2,145,B3,0.0010059100192218475,-0.03993623045533811
2,scene2,154,B3,0.007259289037344559,-0.026145985523612837
2,scene2,183,B3,0.040611618389138265,-0.00576200777989982
2,scene2,203,B3,0.005880274182438455,-0.018272899825091973
