subid,run,TR,trialtype,match_coherence,nonmatch_coherence
37,scene4,87,B1,-0.029414585136177725,0.01881029047162842
37,scene4,107,B1,-0.02599935343952514,-0.014073481907521881
37,scene4,116,B1,-0.022205206989539882,0.010348435512929391
37,scene4,150,B1,-0.11642636531526723,-0.0028663047482813914
37,scene4,193,B1,0.02118689586607696,-0.06351934424570942
37,scene4,207,B1,-0.018967201618924925,0.012587830025892794
37,scene4,221,B1,-0.006247022830284281,0.025365813018923204
37,scene4,28,B2,0.007101254774093562,0.02539743450179874
37,scene4,46,B2,-0.02817586760398963,-0.0004829706168000236
37,scene4,102,B2,-0.003179010293857041,-0.0080920329709086
37,scene4,126,B2,0.05672496157973491,0.024632604121187764
37,scene4,140,B2,-0.012331994007266313,-0.06424559895684762
37,scene4,158,B2,0.012143261396273216,0.02040943595762915
37,scene4,177,B2,-0.006978897000992699,-0.00579961366803264
37,scene4,40,B3,-0.008719647914041699,0.012312124725832799
37,scene4,58,B3,-0.053958395669538355,-0.042475713206962425
37,scene4,73,B3,0.004712298796408866,-0.0010368730211290842
37,scene4,120,B3,-0.024519368301625044,0.04556228764517716
37,scene4,145,B3,0.09745445088732226,-0.0020631921225511287
37,scene4,173,B3,-0.0017907785052821846,-0.05317161627727769
37,scene4,235,B3,0.0015035974317903673,-0.008052987611710997
