subid,run,TR,trialtype,match_coherence,nonmatch_coherence
31,scene3,34,B1,0.0014252657383893585,-0.02219617717806173
31,scene3,93,B1,0.00563227565314256,-0.010775538600547606
31,scene3,101,B1,-0.030714720813500955,-0.02392391958983843
31,scene3,124,B1,0.021234639097869323,-0.029737304062905114
31,scene3,142,B1,-0.013825463966794255,-0.01834829932152015
31,scene3,182,B1,-0.012282873466314449,0.005759644531605556
31,scene3,43,B2,-0.022348162889721312,-0.03495161628571282
31,scene3,64,B2,-0.024961792051226336,-0.020843982557019
31,scene3,81,B2,0.01819090118287075,-0.01413323706784258
31,scene3,163,B2,0.01288622653062855,0.028945342760502268
31,scene3,210,B2,-0.03252748882842905,-0.023804362572793048
31,scene3,223,B2,-0.021220901388040402,-0.02700484611495839
31,scene3,240,B2,-0.012663826311688364,-0.010903392762744914
31,scene3,23,B3,0.04469033749660018,0.02704326150611561
31,scene3,74,B3,-0.013553362901143926,0.0036725228528851957
31,scene3,111,B3,0.016529821574719095,-0.003341859155910125
31,scene3,174,B3,0.037590964697599184,-0.013787207533079162
31,scene3,202,B3,-0.012038255594356687,-0.010957891649547746
31,scene3,214,B3,0.09649981086521953,-0.026863164454737125
