subid,run,TR,trialtype,match_coherence,nonmatch_coherence
48,scene4,26,B1,0.018774442333101344,0.0274260926646936
48,scene4,41,B1,0.033076870571064544,0.01916915305219882
48,scene4,135,B1,-0.037915482370288627,0.028992979004078132
48,scene4,152,B1,-0.015449070924358689,0.008740697669760074
48,scene4,164,B1,0.0024418734497944467,-0.016114782734594636
48,scene4,186,B1,-0.001519629537248237,-0.005369450736716596
48,scene4,241,B1,0.005731348907398098,-0.036788677646803505
48,scene4,17,B2,0.005906486579247412,-0.02655088827755429
48,scene4,49,B2,-0.00373546152489007,0.02819382331526305
48,scene4,94,B2,0.017465005198548034,-0.0382327642714208
48,scene4,106,B2,-0.003038708233091892,-0.0061074128116258
48,scene4,119,B2,0.05709485666954057,-0.002248556785411241
48,scene4,142,B2,0.029366999234573896,0.03023436536825346
48,scene4,192,B2,-0.003092259353516912,-0.013553059364649431
48,scene4,11,B3,0.03385037056368744,0.004897036135155626
48,scene4,66,B3,-0.01715884487976686,-0.008848965345581526
48,scene4,87,B3,-0.03471398243900841,0.036709269508342614
48,scene4,174,B3,-0.026873542288891786,-0.03727234567901578
48,scene4,212,B3,-0.021040002079185202,0.00778875608188108
48,scene4,226,B3,0.005450150469687787,0.016377592738799584
48,scene4,236,B3,0.007153181329641435,0.01462555571492608
