subid,run,TR,trialtype,match_coherence,nonmatch_coherence
85,scene2,76,B1,-0.06064538108721468,-0.014252461938636829
85,scene2,89,B1,-0.07714100063116029,-0.07198088306577385
85,scene2,110,B1,-0.11226065974676867,-0.03471871429564268
85,scene2,123,B1,-0.029172878134241464,0.11398505900151439
85,scene2,155,B1,0.07086893803308171,0.038596303128028954
85,scene2,191,B1,-0.011559443006304735,0.06368485300913117
85,scene2,205,B1,0.02648549897143614,0.057024287983409076
85,scene2,33,B2,0.1235059881739437,0.004004697449828588
85,scene2,52,B2,0.0637459532087047,-0.007129656519995844
85,scene2,81,B2,-0.04133173521137232,0.01798607139490999
85,scene2,118,B2,0.03092270700823178,-0.004010059567433997
85,scene2,138,B2,-0.05248023466139027,0.031032079692738492
85,scene2,160,B2,0.1005276635784013,-0.045373440567659636
85,scene2,223,B2,0.01684637542187596,0.02818058243622234
85,scene2,48,B3,0.024330318481036357,0.05048976199521198
85,scene2,63,B3,0.09037331330926991,-0.04478605299617866
85,scene2,131,B3,-0.0737313170687978,-0.049363708277132115
85,scene2,167,B3,0.04324184659215815,-0.0512102294907647
85,scene2,184,B3,0.06207254718806419,-0.02647397862129322
85,scene2,215,B3,0.03494212618972795,0.03931391125925338
85,scene2,240,B3,0.09370840286773087,0.007137256470535195
