subid,run,TR,trialtype,match_coherence,nonmatch_coherence
71,scene4,27,X1,0.005417717726615329,0.0026816678735887786
71,scene4,70,X1,-0.09457570791127405,-0.03214990141615798
71,scene4,113,X1,0.004514459542995905,-0.007764173672291696
71,scene4,141,X1,-0.0314839459360066,-0.006699328040688943
71,scene4,179,X1,0.01703557915086136,-0.00012888324370893882
71,scene4,194,X1,-0.007231058696201292,-0.014621012938149524
71,scene4,239,X1,-0.005909797817732734,0.045056236248524485
71,scene4,53,X2,-0.18313144537560222,-0.018535221156297712
71,scene4,80,X2,0.004601928841328454,-0.00777909853595184
71,scene4,85,X2,-0.02066397795744156,-7.712328502622125e-06
71,scene4,96,X2,-0.14901772148042405,-0.07404619206126938
71,scene4,187,X2,-0.16070102391244878,0.005228861058126842
71,scene4,236,X2,-0.031236297793889287,0.022617632332190402
71,scene4,242,X2,-0.13243651903314255,0.06690620102390607
71,scene4,23,X3,-0.02516966906360668,0.009518328888025326
71,scene4,42,X3,-0.016806086922941693,-0.026383347480442618
71,scene4,66,X3,-0.02172509813833252,-0.016115972248954287
71,scene4,77,X3,-0.051335784162035526,0.010226669218096467
71,scene4,165,X3,-0.03879382510309822,-0.01648593072177413
71,scene4,175,X3,-0.03522076349709366,0.01199695033746105
71,scene4,215,X3,-0.07049723909662999,0.024891151089880645
71,scene4,8,X4,-0.0041120805529513485,0.0012886001292001887
71,scene4,44,X4,0.01789346682260755,0.016675464518021325
71,scene4,74,X4,-0.028781881286802386,0.007413530371592152
71,scene4,131,X4,-0.037209489922471604,-0.031145473654356336
71,scene4,145,X4,0.015585258118408501,0.017168022506835946
71,scene4,159,X4,-0.04018359641079433,-0.01693283869723542
71,scene4,230,X4,-0.02104407915752728,0.008214323799903236
71,scene4,19,X5,0.046320912230255105,-0.008837886826008504
71,scene4,46,X5,0.010849326166848314,0.017799747378394744
71,scene4,124,X5,0.012584476091313608,-0.02168819512602341
71,scene4,152,X5,-0.004255772827659661,-0.0059990932269027575
71,scene4,191,X5,-0.014514295766568841,-0.03311846513657653
71,scene4,223,X5,0.016038767865554887,0.00607774558071512
71,scene4,233,X5,-0.0010462929036800562,0.043199128045383124
71,scene4,10,X6,0.19253353531264591,-0.015082224996563535
71,scene4,17,X6,0.1905160863676165,-0.017995261778868368
71,scene4,25,X6,0.03861958895741307,-0.0004247335763074761
71,scene4,82,X6,-0.02188486975040757,-0.010461212413555986
71,scene4,127,X6,-0.00814012857108591,-0.0025960690964874386
71,scene4,133,X6,0.019867080855246372,-0.007603155949601789
71,scene4,168,X6,0.05041676808961731,-0.006500946814245232
