subid,run,TR,trialtype,match_coherence,nonmatch_coherence
82,scene2,8,X1,0.030281485660336786,0.00977973484928763
82,scene2,17,X1,-0.02812815491318284,-0.018430604077780147
82,scene2,55,X1,0.03427377428741059,0.0003508983870615902
82,scene2,67,X1,-0.030623419309262934,-0.008900713956286254
82,scene2,148,X1,-0.010232060066218567,-0.008957900785192085
82,scene2,166,X1,0.01371710504872617,-0.008826981506135924
82,scene2,232,X1,0.008779992849796586,-0.0044608907525099896
82,scene2,29,X2,-0.025345484097581097,0.0008942619929961954
82,scene2,92,X2,-0.07244396042793823,0.0032646990616128275
82,scene2,100,X2,-0.019491746902354657,-0.018894881252004718
82,scene2,107,X2,-0.04788409183358244,-0.00856278067897315
82,scene2,112,X2,-0.03656343211372711,-0.004120332916548491
82,scene2,225,X2,-0.015903336595069935,0.0017849757022855746
82,scene2,235,X2,-0.0021337892008445984,-0.01789922893523321
82,scene2,15,X3,-0.0013978450134646571,0.004191697520058897
82,scene2,52,X3,-0.010230157531093742,-0.006713941812080598
82,scene2,57,X3,-0.0018128595717875305,-0.02761258404651858
82,scene2,95,X3,-0.0015237576360468276,-0.005075355316523671
82,scene2,122,X3,-0.0699527606284761,0.018380051336074617
82,scene2,151,X3,-0.03352154184537219,-0.016625795147064082
82,scene2,172,X3,-0.01022807209935447,0.008080582172642726
82,scene2,32,X4,-0.036314994584277706,0.0020878450088646226
82,scene2,59,X4,-0.006474438195372758,-0.018416873959450453
82,scene2,90,X4,-0.012449420092930477,-0.017524239649021035
82,scene2,114,X4,0.0023862905640814704,0.004418745342261755
82,scene2,158,X4,-0.00526918052871693,-0.01098652215943314
82,scene2,163,X4,-0.02848565908379091,0.002862624061959886
82,scene2,243,X4,-0.010082595729390261,-0.0016312117328894653
82,scene2,11,X5,0.0409175434732934,-0.008782644005120452
82,scene2,25,X5,0.06506185297139294,-0.012686757969020987
82,scene2,44,X5,-0.11245593755611209,0.013936323784975538
82,scene2,98,X5,-0.016451768662604203,0.00958546897290411
82,scene2,137,X5,0.06006520719008682,-0.021363399988466553
82,scene2,161,X5,0.015050391277576585,-0.006563530034716487
82,scene2,204,X5,-0.017030665033317387,-0.023950005163648366
82,scene2,41,X6,0.0077668133770605685,-0.00486272662215202
82,scene2,82,X6,-0.03416246161395817,0.00653034227157482
82,scene2,109,X6,-0.00518415872693274,-0.003018311581484829
82,scene2,169,X6,-0.008529882565003167,-0.014445362001598282
82,scene2,176,X6,0.013049813600355287,-0.002461672187241595
82,scene2,187,X6,-0.06854308379277768,0.006954928389385427
82,scene2,228,X6,-0.004233808967037386,-0.002584674747697021
