subid,run,TR,trialtype,match_coherence,nonmatch_coherence
13,scene2,19,B1,0.03258765432326038,0.016382094393963823
13,scene2,67,B1,-0.00208364520517988,-0.0266059683668294
13,scene2,81,B1,0.019787779241948134,-0.008941689272319102
13,scene2,156,B1,0.0168854148611642,0.01984922893984262
13,scene2,189,B1,-0.00593600616812374,-0.023448485276727164
13,scene2,214,B1,-0.024946993970237353,-0.02993009548859484
13,scene2,240,B1,0.01024699917808081,-0.014729864777921957
13,scene2,34,B2,0.01531640051153499,-0.0347408770658439
13,scene2,45,B2,-0.008993934212503262,-0.007117833605055308
13,scene2,114,B2,0.008537771103935547,0.0024950915517408323
13,scene2,122,B2,-0.04270289913660919,0.009978819199599922
13,scene2,172,B2,-0.039220463719259475,-0.006892789217416091
13,scene2,202,B2,-0.010073551490013809,0.011580911483206677
13,scene2,224,B2,0.007523620493396314,-0.02929507426395123
13,scene2,26,B3,-0.035442482099312965,-0.021704359848070776
13,scene2,49,B3,-0.018975018818571138,0.012517283493368262
13,scene2,99,B3,-0.016813066315015394,-0.01735828841675971
13,scene2,131,B3,-0.05289290843552943,0.002857893259559108
13,scene2,166,B3,-0.039097020084725036,-0.017332525321889815
13,scene2,177,B3,-0.013942896969103488,0.00453555405359588
13,scene2,228,B3,-0.05686267656986096,0.0030806048059443354
