subID,bg_connectivity
2,0.13744851900825994
3,-0.15362963799670037
4,0.010398973668465317
5,0.29458588492677173
7,0.13177561847417055
8,0.3123805903423464
10,0.043907282191418456
13,0.17379968692841463
14,-0.05980063016605239
15,0.09763704451675195
17,-0.0851507455835791
20,0.0008089468538050731
21,0.07301609352537222
23,0.2865074458256997
24,0.1263153287826785
28,-0.16591188166588222
29,0.2901533854771287
30,0.11920659050678195
31,0.2861047124118967
32,0.12465048549637527
33,-0.09574009529444999
34,0.07813114730602844
36,0.3075205821871966
37,0.024783468580082763
38,0.05410714131906648
39,0.07720820405568951
40,-0.06349291646671279
41,-0.06473291462004532
42,0.21835586329721934
43,0.04631592552663824
44,-0.03775309094980406
45,0.16098763958407036
46,0.17096352651310853
47,0.06246694404491664
48,0.09938284289203875
49,0.09834883444763412
50,0.2790590577958734
52,0.24042333023655393
53,-0.014390908677984482
54,0.1874966709783919
55,-0.03391216827403315
56,0.00911996731302045
57,0.2145954526468195
58,0.04737248857570056
59,0.27866193926837896
60,-0.09328747734126173
61,-0.02014767117666047
62,0.08270256977908812
63,0.06492206502186203
64,0.20871076988397216
65,0.33949111772939616
66,0.002530178650341778
68,-0.05079794180745323
69,0.10201528214329858
71,0.04799391493679506
72,0.2135187451894419
73,0.1505380397461313
74,0.15594747052650587
75,0.0537233088808199
76,0.10896847598990572
77,0.012550186706432986
78,0.045939044010420205
79,0.05847038269666549
80,0.20673504666055886
81,-0.05523546867512763
82,-0.0824899835533095
83,-0.04362219791633026
84,0.09396508536947296
85,-0.03953104227712806
86,0.19230642412655571
87,0.10210127486838701
88,0.04655715071216915
89,0.06407712349318564
90,0.15694472294713233
91,0.053447753575336626
92,0.07566917917083552
93,-0.07232418582340139
94,0.2215893110201903
95,-0.01222639993623692
96,0.150509091187382
98,0.07180692334910055
100,-0.1709748920763723
101,0.11608732083924034
103,0.03421860155471587
104,0.0448743298118528
105,-0.030289550196093834
106,0.17874169202476467
