subID,group,A,B,X
2,Stress,0.0012256053046684802,-0.00812092724400238,0.00746862413822595
3,Control,-0.00042860081226949484,-0.007264058217024396,0.001775400022903065
4,Stress,0.007508300594202995,0.006659661861634349,0.002723232169418583
5,Control,-0.006947885217665971,0.011986124034415282,0.010673250407925808
7,Control,0.00548340435258812,0.009050615275622259,0.001578054112578513
8,Control,0.008547114113667134,-0.008175430041103786,0.0024774539214126455
10,Stress,0.007075721690353085,-0.009726726577917615,-0.0032294122429037727
13,Control,-0.00429061013705992,0.00861415023984284,-0.002556459159437829
14,Stress,0.004134267509875632,-0.007522620111186226,-0.0009110976538842574
15,Control,0.0018205592780059612,-0.0016990085932049052,-0.0027900728518941357
17,Control,0.0030950001070082357,0.004609577040756135,-9.083038852974994e-05
20,Control,-0.009094198581742194,-0.0042281045828531805,0.004958054512783529
21,Stress,-0.014398881486408626,-0.004695169938223355,0.003238902749183743
23,Stress,-0.007728582215666295,0.0017810698507056627,0.006023468176413562
24,Stress,0.010702447375435235,-0.01347527076693108,-0.008393808799887598
28,Stress,-0.0046637056472178876,0.0003611828033263512,0.0005732240439758533
29,Control,-0.0018116219969040355,-0.003330135190236172,-0.008834889737060743
30,Stress,-0.0032039240451426873,0.018716969413905663,-0.008185745426233366
31,Control,-0.005519135205538273,0.0015643660948707616,-0.003117659112186366
32,Stress,-0.004155103990010624,0.003602911977874088,0.0032859390222189345
33,Stress,-0.005394074126010879,-0.004626069304878458,0.0012210821565745086
34,Control,-0.0064399497914744966,0.011043657564033079,-0.002295828107975159
36,Control,-0.0029773999099602655,-0.002786890077434503,-0.00044149374095500937
37,Stress,-0.0005332508040766712,-0.00161476823263577,-0.0006101515272250062
38,Stress,0.0001725558087557379,-0.0033563614387096697,0.001778349425989431
39,Control,-0.006308723309070998,-0.009207674362390422,0.0016590488700900265
40,Stress,0.001664757636050587,0.007989390631238484,0.007423720153180274
41,Control,0.006755236243478454,-0.010319416084226795,0.0024768183179099926
42,Stress,-0.0011332506638766216,0.007408751021438006,-0.0019591959335699804
43,Stress,0.006148774257547274,-0.0024024499425194775,-0.00026320656343332564
44,Control,-0.00466168213880477,2.5543470863780755e-05,0.005510877501811356
45,Control,-0.00950406950184115,-0.005282927537449081,-0.0016441223088381476
46,Stress,0.0014908462010274105,0.00491010397136467,0.004222803909785203
47,Stress,0.001229050198421601,-0.006771825687310915,-0.0035419444714256975
48,Control,0.0026506265711295184,0.0019773380066572172,0.0022541777736962585
49,Control,0.0006956141729763591,-0.0003077421045343635,-0.004576057896578027
50,Stress,-0.005666863670601597,0.0021075130201536198,0.002375613839794239
52,Control,-0.004371932713733225,0.0035380356972020198,-0.005593833339245421
53,Control,-3.418648727372885e-05,-0.0006921988210411286,-3.873978144564485e-05
54,Stress,0.0033669235032010598,-0.002579487760550854,0.003055379822445184
55,Stress,0.004495213886845095,-0.006057173870828789,0.005404139270577392
56,Control,0.009188555673504266,0.0044583444513145495,0.006033866300303097
57,Control,0.004165109205548488,-0.005947789516124844,-0.004290291889285969
58,Stress,-0.003084898793781952,-0.003350376364751562,-0.005636982523596989
59,Stress,0.002612446313699593,0.0014801488340043258,0.002600494838292249
60,Stress,0.0038298926102247255,0.006326099147146585,-0.010258799003152588
61,Stress,0.0040588362253425395,0.002726344747567654,-0.003426160405398852
62,Control,0.005515710057140511,0.011007085651106153,-0.001849225228738483
63,Stress,0.004918410583082102,0.007524401468150899,0.0012426179057508765
64,Control,-0.020039708278865028,-0.0012347872039982892,0.0009327876817691197
65,Stress,0.006362879194217243,-0.0074609776265341715,-0.0005928567076893283
66,Stress,-0.005656879406545977,0.007721416614280898,-0.0014722386305775024
68,Stress,0.005019274127779318,0.007020977107282214,-0.004867052493135782
69,Control,0.007962412708418388,0.0008412052741790573,-0.0029903333405902244
71,Control,0.00444042777792147,0.011900893530743462,0.002423906192860644
72,Stress,0.006112747273803834,-0.0019513826148891322,0.002493173149370304
73,Control,0.004326747862462949,0.006022298101184728,0.0024597545278134364
74,Control,-0.0018129891880762953,-0.0029171544450379366,-0.006743583557424649
75,Stress,-0.013117294473501132,-0.006303948277051843,0.00700135944801518
76,Control,-0.000588666951088591,0.005398010119036022,-0.0042306858485053785
77,Stress,0.00012512973396357232,0.005996736805297856,0.00306130933423084
78,Stress,0.004843639365093629,0.007992390929911731,-0.000732986670868547
79,Control,0.0017711487628234502,-0.004818031333096293,0.0034338300009997226
80,Stress,0.004328010603446664,0.005635049153552255,0.002961615459966698
81,Control,-0.0015554213322007669,0.0042253848728957405,0.0033082138393707976
82,Control,-0.004985811129287743,-0.0010110447099521656,0.0010561524991265431
83,Control,-0.01107075791043694,-0.002597662758936673,0.007042435730345517
84,Stress,0.006436359289741476,0.004082327342214851,0.00432101331388437
85,Stress,0.006544621799992838,-0.012355894433924984,0.015615684371339153
86,Control,-0.006084843897323993,-0.0049022136264243316,0.0039781827700325935
87,Control,0.011242109216183268,-0.009308921414350774,-0.003768040987494281
88,Stress,-0.002123950282216906,-0.0060709577611471315,-0.010879270241253625
89,Control,-0.0041024846129465425,0.0012928459033143035,0.0017274946634242892
90,Stress,-0.006481437460282841,0.005851604377268994,0.000113240945118566
91,Control,-0.003317049747435328,-0.003286464359807212,0.008576799152373612
92,Stress,-0.005806733807677353,0.0019679337119387825,-0.002715735660858132
93,Control,0.00039015088189845137,0.003436091581760228,0.0006129413164598762
94,Control,-0.0011707817153867482,-0.010284967253954003,-0.005748456908877247
95,Control,0.005275782153086626,-0.00045563561850437567,-2.2816212603814307e-05
96,Stress,-0.0025579672692687106,-0.00027415962234510536,0.0002471564287366692
98,Stress,0.0005085807332696932,0.006718841287746795,-0.0003638336078723037
100,Control,0.0023847530238449988,0.0014216471294086124,0.004814836297305814
101,Stress,0.00478079293386237,0.009417856139637039,-0.0016878613350996556
103,Stress,0.005675352770746039,-0.004860894892885406,-0.005643902824914642
104,Stress,-0.001827442850133809,0.0028986659975206433,0.004994490362700909
105,Stress,-0.0026456794448482925,-0.0026589161159301647,0.00276086109045485
106,Control,0.008212292244011137,-0.01395533716346934,0.004192978091529364
