subID,group,A,B,X
2,Stress,-0.0017973950586497316,0.0008597534882813266,-0.0013346771984390805
3,Control,0.005112746046556863,-0.003942798258226698,-0.001631787307508147
4,Stress,-0.0008399963873325755,0.0038923217465688946,-0.003026000733483177
5,Control,-0.0021213695110776547,-0.00042829397147535795,0.004513308102336243
7,Control,0.0002396415225153556,0.004261477931909211,-0.0031566216451325334
8,Control,-0.0009285502692106419,-0.0013745067708415297,-0.0024562606198011154
10,Stress,0.005589967362334754,-0.004665017080301632,-0.004141953976073836
13,Control,2.2026396508480758e-05,0.0009481463042595204,0.0002660397483231834
14,Stress,0.0045273520116508766,0.002406757928960585,0.00031791737296607943
15,Control,-0.0036521203872948832,0.0017912047783078101,0.0016424853837934583
17,Control,-0.000922445547193498,0.007067206758021912,0.0014370840116264987
20,Control,-0.0006309618796219725,0.0009678790523685526,6.279656956709085e-05
21,Stress,0.0004933348043179973,0.002408187406061649,-0.0034353346213743226
23,Stress,0.0018920804986517475,-0.0025687379553167443,-0.0008753734312603004
24,Stress,0.004403643765780951,0.0014141355298467986,-0.0002356954632013108
28,Stress,-0.0020747226493855035,-0.004919330817037447,-0.001440391526345562
29,Control,0.00028550097809373773,-0.004402137244747255,0.0001989335314634774
30,Stress,0.0002773446706385518,0.0007083317029471334,0.0017943974434698707
31,Control,0.0006140005074935996,-0.0019893883777037033,-0.00173684578282117
32,Stress,0.0031210778458355976,-0.0034294331098562556,0.0007294874431225814
33,Stress,0.0014941124437939516,0.0002092325961628621,-0.0024233868971790455
34,Control,0.0019890574095475164,0.0003892345199741835,0.0010355268061910856
36,Control,0.003980981673733272,-0.00018935980154869797,0.00181420213225733
37,Stress,0.0036908802342149436,0.0008226170862013,0.0019159427921998531
38,Stress,0.004694619693373132,0.008797974370854514,-0.0028677630699361044
39,Control,0.0024386701950709438,0.002464347987894614,-0.0010000793283174456
40,Stress,0.00260564160762455,0.004171985509326746,0.0017171006850305577
41,Control,-0.0013900018917604841,-0.000241418793905174,0.0006185938434668422
42,Stress,0.003234065262881105,-0.0008814600283534824,-0.0010247374212203279
43,Stress,0.00126120174073124,0.00020648139667592686,-0.0018830982193220368
44,Control,-0.000356923571282866,0.0019083329381068344,-0.0034143004324041783
45,Control,-0.0008802506116760221,-0.000919756956162906,0.002842312754319499
46,Stress,-0.0003073474878475457,-0.000880787613977173,0.0019424167543636163
47,Stress,-0.0021125616833717062,-0.0029268074649982786,0.0008676502783919541
48,Control,0.009527302911877752,-0.003830643229493032,-0.0005428644553038728
49,Control,-0.0009028319292938023,7.868445081417104e-05,-0.0010545264869579343
50,Stress,-0.0015975546769811059,-0.0011626069071284811,0.002537114398433755
52,Control,0.0019229800548576227,0.0012816137387676356,0.0032571536702086564
53,Control,-0.0021553029103150226,-0.00025751185293341756,-0.00012830276604831317
54,Stress,-0.0019503897935099384,0.0010204986052022118,-0.00013234519967533513
55,Stress,-0.0007317965225224516,-0.004859106677418188,0.0009307283656627549
56,Control,-0.0016723062877408,0.002426930693798827,0.002164549933576618
57,Control,-0.0026627336449617377,0.0004916990250917689,0.0010460490926551221
58,Stress,-0.0015431194237698848,-0.0015743227667720757,-0.00019752403300163642
59,Stress,-0.0021434154443260847,0.004213338006654822,-0.0001882061519934803
60,Stress,0.004249756350770939,-0.0009067068821788393,-0.00043674633079691987
61,Stress,-0.002088898711640632,0.0007070423960281886,0.000500628316378757
62,Control,-0.002127270827623849,0.0018542429289119778,0.0006719892680871911
63,Stress,0.005849137719884194,-0.00040731669971616344,0.0038814169657581917
64,Control,-0.0011370583919153086,9.468796194246502e-05,0.00023530909901702733
65,Stress,0.004905399444255869,0.001158967606100624,0.0016665054256097761
66,Stress,0.008103479213111362,-0.006594360990925252,-0.0003791202170546173
68,Stress,-0.002562164268110453,0.0021547396143025057,0.003956908550952578
69,Control,-0.0002407804901442201,-0.0036962597786491117,2.831143522566501e-05
71,Control,-0.0007879035206906272,-0.004066367571770104,-0.004372404041339076
72,Stress,-0.0012928550905978017,0.0011941857489088012,-3.836798301929378e-05
73,Control,0.002784637147784762,-0.0026991434447673638,0.0018393421882140744
74,Control,0.0040247519670486235,0.001137711151812595,-0.000859225350693889
75,Stress,0.0011309098724385162,-0.0010474738045267314,0.0017046377616967312
76,Control,7.180488952112827e-05,-0.0055611849448202934,-0.006702777147744933
77,Stress,-0.0003028212792914744,0.0003298821844611135,-0.004559898941308881
78,Stress,0.00025729511964059604,-0.003327390891199267,-0.002068878221182423
79,Control,-0.004312449967550901,0.0008215201990936068,-0.00045092236915165117
80,Stress,-0.00014996466461364877,-0.0024417344681395155,0.0001216927761520254
