subID,Aprime_A,Aprime_B,Aprime_X,HR_A,HR_B,HR_X,FA_A,FA_B,FA_X
1,0.6370120120120121,0.614516129032258,0.6997947454844007,0.5873015873015873,0.6349206349206349,0.6904761904761905,0.42857142857142855,0.5079365079365079,0.4444444444444444
2,0.5763888888888888,0.5187134502923977,0.5605649717514124,0.19047619047619047,0.30158730158730157,0.46825396825396826,0.14285714285714285,0.2857142857142857,0.40476190476190477
3,0.6799999999999999,0.6488469601677149,0.5316764132553606,0.3968253968253968,0.2857142857142857,0.42857142857142855,0.20634920634920634,0.15873015873015872,0.3968253968253968
4,0.7033462033462033,0.5705329243635695,0.69,0.5873015873015873,0.4444444444444444,0.4126984126984127,0.3333333333333333,0.3709677419354839,0.20634920634920634
5,0.562037037037037,0.6837797619047619,0.6819409282700422,0.42857142857142855,0.4444444444444444,0.5952380952380952,0.36507936507936506,0.23809523809523808,0.373015873015873
6,0.6559386973180077,0.7065359477124182,0.753142561372375,0.4603174603174603,0.5396825396825397,0.5476190476190477,0.2857142857142857,0.2857142857142857,0.2222222222222222
7,0.7360061443932411,0.7418414918414918,0.6232758620689656,0.8064516129032258,0.6984126984126984,0.6746031746031746,0.5238095238095238,0.38095238095238093,0.5396825396825397
8,0.5156402737047899,0.47459729314568017,0.6533823252308272,0.5238095238095238,0.5714285714285714,0.6904761904761905,0.5079365079365079,0.5967741935483871,0.5158730158730159
10,0.5688727321791838,0.4262152777777778,0.5311302681992337,0.47619047619047616,0.42857142857142855,0.4603174603174603,0.4032258064516129,0.5079365079365079,0.42857142857142855
13,0.7024894810659187,0.6499012508229098,0.7095238095238094,0.7419354838709677,0.7142857142857143,0.8333333333333334,0.5,0.5483870967741935,0.6111111111111112
14,0.5737847222222222,0.5371853546910755,0.701009045246862,0.5079365079365079,0.7301587301587301,0.648,0.42857142857142855,0.6984126984126984,0.3968253968253968
15,0.6987092391304348,0.6955213903743316,0.6821428571428572,0.7301587301587301,0.6984126984126984,0.7142857142857143,0.49206349206349204,0.4603174603174603,0.5
16,0.6488469601677149,0.6437444543034605,0.6308787128712872,0.2857142857142857,0.36507936507936506,0.31746031746031744,0.15873015873015872,0.2222222222222222,0.1984126984126984
17,0.6354515050167224,0.48303287380699894,0.5361207311207311,0.4126984126984127,0.3492063492063492,0.4365079365079365,0.2698412698412698,0.36507936507936506,0.4
19,0.6179401993355482,0.5878607809847198,0.5918963877906165,0.4444444444444444,0.49206349206349204,0.472,0.31746031746031744,0.3968253968253968,0.373015873015873
20,0.8162859980139027,0.7026251025430681,0.6594706126687435,0.6031746031746031,0.36507936507936506,0.2777777777777778,0.15873015873015872,0.15873015873015872,0.144
21,0.5940909090909091,0.7239685725444134,0.6092910293509715,0.6984126984126984,0.746031746031746,0.6507936507936508,0.6031746031746031,0.46774193548387094,0.5317460317460317
23,0.5475961538461539,0.5603603603603604,0.6404268319199826,0.4126984126984127,0.47619047619047616,0.5793650793650794,0.36507936507936506,0.4126984126984127,0.416
24,0.6504065040650406,0.6250965250965251,0.6370892018779343,0.5238095238095238,0.5555555555555556,0.5634920634920635,0.3492063492063492,0.4126984126984127,0.40476190476190477
25,0.6686656671664168,0.5912698412698413,0.6006573083778965,0.4603174603174603,0.6666666666666666,0.6984126984126984,0.2698412698412698,0.5714285714285714,0.5952380952380952
26,0.5628517823639775,0.5549234479990875,0.5568390709141151,0.6507936507936508,0.4603174603174603,0.49193548387096775,0.5873015873015873,0.4032258064516129,0.432
27,0.5679945054945055,0.6127450980392157,0.5104440789473684,0.2222222222222222,0.2857142857142857,0.25396825396825395,0.1746031746031746,0.19047619047619047,0.24603174603174602
28,0.5607985480943739,0.5940450220564262,0.6213755784445439,0.6031746031746031,0.7301587301587301,0.6904761904761905,0.5396825396825397,0.639344262295082,0.56
29,0.6562974827136905,0.6924342105263157,0.613237639553429,0.6507936507936508,0.6031746031746031,0.6031746031746031,0.46774193548387094,0.36507936507936506,0.47619047619047616
30,0.5465225563909775,0.6128775834658188,0.5310336595846264,0.4444444444444444,0.5396825396825397,0.5634920634920635,0.3968253968253968,0.4126984126984127,0.5317460317460317
31,0.4538676607642125,0.46100778153786665,0.48434059212136044,0.4126984126984127,0.45161290322580644,0.46825396825396826,0.4603174603174603,0.49206349206349204,0.48412698412698413
32,0.7456199460916442,0.6056122448979592,0.5347500668270516,0.8412698412698413,0.7777777777777778,0.6904761904761905,0.5555555555555556,0.6825396825396826,0.6587301587301587
33,0.5778388278388278,0.6253869969040248,0.5455486542443064,0.4126984126984127,0.5396825396825397,0.5,0.3333333333333333,0.3968253968253968,0.4523809523809524
34,0.5948269174075625,0.6000816993464052,0.6168344784016425,0.5238095238095238,0.5714285714285714,0.6,0.41935483870967744,0.4603174603174603,0.46825396825396826
36,0.5458333333333334,0.43507751937984496,0.6274586939417781,0.47619047619047616,0.31746031746031744,0.49206349206349204,0.42857142857142855,0.38095238095238093,0.3492063492063492
37,0.6395876772295447,0.6789855072463767,0.6775770823745974,0.27419354838709675,0.47619047619047616,0.3253968253968254,0.15873015873015872,0.2698412698412698,0.15873015873015872
38,0.6487573099415205,0.5330284552845529,0.643022609340252,0.5714285714285714,0.38095238095238093,0.5634920634920635,0.3968253968253968,0.3492063492063492,0.3968253968253968
