subID,run,roi1,roi2,TR,ets
98,scene3,CA1,CA23,0,-0.7533272812245098
98,scene3,CA1,CA23,1,0.009333611861999531
98,scene3,CA1,CA23,2,-0.9507754629384552
98,scene3,CA1,CA23,3,-0.358984708376423
98,scene3,CA1,CA23,4,0.07338348291142714
98,scene3,CA1,CA23,5,-0.2353998634611347
98,scene3,CA1,CA23,6,1.8886137806838699
98,scene3,CA1,CA23,7,-0.3888115566285084
98,scene3,CA1,CA23,8,-0.429322395501696
98,scene3,CA1,CA23,9,-0.33924021551997346
98,scene3,CA1,CA23,10,-1.0197418969410335
98,scene3,CA1,CA23,11,-0.08439029200032071
98,scene3,CA1,CA23,12,-0.23665941483212496
98,scene3,CA1,CA23,13,-0.4992646489482002
98,scene3,CA1,CA23,14,0.23677526275862168
98,scene3,CA1,CA23,15,0.8292692265676567
98,scene3,CA1,CA23,16,0.2519521349040495
98,scene3,CA1,CA23,17,0.016337229132179998
98,scene3,CA1,CA23,18,1.0258878297233147
98,scene3,CA1,CA23,19,0.04707852914115319
98,scene3,CA1,CA23,20,0.7939133857961883
98,scene3,CA1,CA23,21,1.4111108062503261
98,scene3,CA1,CA23,22,0.005398216752548043
98,scene3,CA1,CA23,23,-0.42942155870697063
98,scene3,CA1,CA23,24,0.7546443557558274
98,scene3,CA1,CA23,25,-0.4390417059081413
98,scene3,CA1,CA23,26,0.01951840849963576
98,scene3,CA1,CA23,27,-0.3810191234908087
98,scene3,CA1,CA23,28,0.48752167884997255
98,scene3,CA1,CA23,29,0.5812890873364558
98,scene3,CA1,CA23,30,-3.838131500162383
98,scene3,CA1,CA23,31,1.2234437824555475
98,scene3,CA1,CA23,32,-0.42630689201417316
98,scene3,CA1,CA23,33,0.005715763474893659
98,scene3,CA1,CA23,34,-0.8799137214931559
98,scene3,CA1,CA23,35,-1.0714949557710591
98,scene3,CA1,CA23,36,2.693433736678444
98,scene3,CA1,CA23,37,1.1706663629917957
98,scene3,CA1,CA23,38,-0.248719793275274
98,scene3,CA1,CA23,39,0.03077590564220279
98,scene3,CA1,CA23,40,1.8680410719839124
98,scene3,CA1,CA23,41,0.2768711167094645
98,scene3,CA1,CA23,42,0.394564940782482
98,scene3,CA1,CA23,43,-0.009717260515601976
98,scene3,CA1,CA23,44,0.9745233922088775
98,scene3,CA1,CA23,45,0.06505204159940632
98,scene3,CA1,CA23,46,0.16287844022179757
98,scene3,CA1,CA23,47,-0.7730601845288652
98,scene3,CA1,CA23,48,0.21594903177867247
98,scene3,CA1,CA23,49,-0.995579622628942
98,scene3,CA1,CA23,50,-0.3042193467420293
98,scene3,CA1,CA23,51,-1.1962746672736115
98,scene3,CA1,CA23,52,-0.08317337812400369
98,scene3,CA1,CA23,53,0.00010756862640406386
98,scene3,CA1,CA23,54,0.09659949575863162
98,scene3,CA1,CA23,55,0.29037743678845435
98,scene3,CA1,CA23,56,-0.16048650949683263
98,scene3,CA1,CA23,57,-0.09487963494323236
98,scene3,CA1,CA23,58,1.2133411378679164
98,scene3,CA1,CA23,59,-0.14870030027333297
98,scene3,CA1,CA23,60,0.9761485205283846
98,scene3,CA1,CA23,61,-0.5498381635815217
98,scene3,CA1,CA23,62,2.2567171375333697
98,scene3,CA1,CA23,63,1.2199638719357906
98,scene3,CA1,CA23,64,-0.5021661325172406
98,scene3,CA1,CA23,65,0.2972199984698481
98,scene3,CA1,CA23,66,-0.2775873897108179
98,scene3,CA1,CA23,67,-0.1346235450108221
98,scene3,CA1,CA23,68,0.8793127704739303
98,scene3,CA1,CA23,69,-0.8838918859120966
98,scene3,CA1,CA23,70,-0.17991802896618272
98,scene3,CA1,CA23,71,-0.3514238717224797
98,scene3,CA1,CA23,72,-0.3402618881715662
98,scene3,CA1,CA23,73,0.1161989517877001
98,scene3,CA1,CA23,74,0.1548793761826193
98,scene3,CA1,CA23,75,0.005748607253716807
98,scene3,CA1,CA23,76,-0.0001483001274352789
98,scene3,CA1,CA23,77,0.9096539280138191
98,scene3,CA1,CA23,78,0.16763886407844641
98,scene3,CA1,CA23,79,0.5728570405061431
98,scene3,CA1,CA23,80,0.3732275191489081
