subID,run,roi1,roi2,TR,ets
20,scene2,CA1,CA23,0,0.0348181118319534
20,scene2,CA1,CA23,1,0.06216292274438527
20,scene2,CA1,CA23,2,-0.45016234694185564
20,scene2,CA1,CA23,3,-0.13261842289842876
20,scene2,CA1,CA23,4,-0.2181952339737733
20,scene2,CA1,CA23,5,0.21168084286549554
20,scene2,CA1,CA23,6,-1.0271990828978648
20,scene2,CA1,CA23,7,1.1611425516407798
20,scene2,CA1,CA23,8,1.052968565628748
20,scene2,CA1,CA23,9,0.27148787994128054
20,scene2,CA1,CA23,10,-1.1980432677382256
20,scene2,CA1,CA23,11,0.0204068483068052
20,scene2,CA1,CA23,12,-0.3824435239076335
20,scene2,CA1,CA23,13,-0.20987813548166004
20,scene2,CA1,CA23,14,0.6936685544781398
20,scene2,CA1,CA23,15,0.7631005159981896
20,scene2,CA1,CA23,16,-0.4384755500359783
20,scene2,CA1,CA23,17,0.3180322686988136
20,scene2,CA1,CA23,18,0.24324704655415358
20,scene2,CA1,CA23,19,-1.5708721751176675
20,scene2,CA1,CA23,20,-0.13728175592580816
20,scene2,CA1,CA23,21,0.14333496424307512
20,scene2,CA1,CA23,22,-0.01080640701416296
20,scene2,CA1,CA23,23,-0.485090767613904
20,scene2,CA1,CA23,24,-1.2240005239108867
20,scene2,CA1,CA23,25,0.3555347879022227
20,scene2,CA1,CA23,26,0.0350944873859663
20,scene2,CA1,CA23,27,0.9193426168890955
20,scene2,CA1,CA23,28,-0.04019663829772107
20,scene2,CA1,CA23,29,0.14858704134256187
20,scene2,CA1,CA23,30,-0.33782462409135067
20,scene2,CA1,CA23,31,1.3666209490481784
20,scene2,CA1,CA23,32,-1.048200912373374
20,scene2,CA1,CA23,33,1.7849892109037064
20,scene2,CA1,CA23,34,-0.06841784893097531
20,scene2,CA1,CA23,35,0.010958882040825787
20,scene2,CA1,CA23,36,-1.0310098513552903
20,scene2,CA1,CA23,37,0.11698886079842885
20,scene2,CA1,CA23,38,-2.6093534809765493
20,scene2,CA1,CA23,39,0.05741195993797694
20,scene2,CA1,CA23,40,0.03782173353906245
20,scene2,CA1,CA23,41,0.05928733466542695
20,scene2,CA1,CA23,42,0.09773526276219131
20,scene2,CA1,CA23,43,-0.20231812756618148
20,scene2,CA1,CA23,44,0.20730103327775642
20,scene2,CA1,CA23,45,1.4593897853945017
20,scene2,CA1,CA23,46,-0.015109334342215387
20,scene2,CA1,CA23,47,-3.054706329831305
20,scene2,CA1,CA23,48,-0.1659957437139663
20,scene2,CA1,CA23,49,0.02577542469149291
20,scene2,CA1,CA23,50,0.002293017039494321
20,scene2,CA1,CA23,51,0.02431353358281156
20,scene2,CA1,CA23,52,1.2676176968040613
20,scene2,CA1,CA23,53,0.0681042242642765
20,scene2,CA1,CA23,54,-0.3308598814176213
20,scene2,CA1,CA23,55,0.032273872520214235
20,scene2,CA1,CA23,56,0.021913728340535454
20,scene2,CA1,CA23,57,1.2946954810836044
20,scene2,CA1,CA23,58,0.4035621012892062
20,scene2,CA1,CA23,59,0.9191759931641518
20,scene2,CA1,CA23,60,3.374736599018876
20,scene2,CA1,CA23,61,0.5299155444022776
20,scene2,CA1,CA23,62,0.1483886291799943
20,scene2,CA1,CA23,63,-1.3442236239711838
20,scene2,CA1,CA23,64,-0.2891313712934121
20,scene2,CA1,CA23,65,-0.026120584720196238
20,scene2,CA1,CA23,66,1.075313393580985
20,scene2,CA1,CA23,67,0.3135817503893419
20,scene2,CA1,CA23,68,-0.6245349600032495
20,scene2,CA1,CA23,69,-0.8318550159866299
20,scene2,CA1,CA23,70,1.157080902738653
20,scene2,CA1,CA23,71,-5.133025005763887
20,scene2,CA1,CA23,72,-0.21835414897938143
20,scene2,CA1,CA23,73,0.6730358633379109
20,scene2,CA1,CA23,74,2.470063474256116
20,scene2,CA1,CA23,75,0.01288530121253816
20,scene2,CA1,CA23,76,-0.3791613620426031
20,scene2,CA1,CA23,77,-0.6769200267855611
20,scene2,CA1,CA23,78,0.19879256118325492
20,scene2,CA1,CA23,79,-0.07384606654616417
20,scene2,CA1,CA23,80,0.0019644931937730704
20,scene2,CA1,CA23,81,-1.1403828803842342
20,scene2,CA1,CA23,82,-0.21968467802614067
20,scene2,CA1,CA23,83,0.7555278019660967
20,scene2,CA1,CA23,84,1.4000353120374271
20,scene2,CA1,CA23,85,-0.6043536469027636
20,scene2,CA1,CA23,86,0.08355368305106298
20,scene2,CA1,CA23,87,-0.5419276188587093
20,scene2,CA1,CA23,88,-0.30447267300041525
20,scene2,CA1,CA23,89,-0.8276384319690282
20,scene2,CA1,CA23,90,-0.24233103026251865
20,scene2,CA1,CA23,91,-0.21480167812628811
20,scene2,CA1,CA23,92,-1.0790103843135999
20,scene2,CA1,CA23,93,0.02323810178297886
20,scene2,CA1,CA23,94,-0.8328597763690618
20,scene2,CA1,CA23,95,0.6281660354232792
20,scene2,CA1,CA23,96,-2.9447459024365
20,scene2,CA1,CA23,97,0.6373857041002156
20,scene2,CA1,CA23,98,3.82061632081821
20,scene2,CA1,CA23,99,1.7197940636117997
20,scene2,CA1,CA23,100,0.6263012411767265
20,scene2,CA1,CA23,101,0.23095657795915409
20,scene2,CA1,CA23,102,1.1824307323369716
20,scene2,CA1,CA23,103,0.23026032978379404
20,scene2,CA1,CA23,104,-0.7420007214559787
20,scene2,CA1,CA23,105,-0.4835049794613789
20,scene2,CA1,CA23,106,1.5045951442356449
20,scene2,CA1,CA23,107,-0.1294622459573895
20,scene2,CA1,CA23,108,-0.17661302767085996
20,scene2,CA1,CA23,109,-0.5609817361481214
20,scene2,CA1,CA23,110,0.03992594405553868
20,scene2,CA1,CA23,111,0.1431136842547738
20,scene2,CA1,CA23,112,-0.826077701317747
20,scene2,CA1,CA23,113,-0.09289751147724896
20,scene2,CA1,CA23,114,-2.484383928832471
20,scene2,CA1,CA23,115,-0.4143142282892384
20,scene2,CA1,CA23,116,-0.9237148947075475
20,scene2,CA1,CA23,117,0.6528999301507293
20,scene2,CA1,CA23,118,0.7328668253545881
20,scene2,CA1,CA23,119,0.05825745454138189
20,scene2,CA1,CA23,120,0.24958586176101535
20,scene2,CA1,CA23,121,0.5984841557007273
20,scene2,CA1,CA23,122,0.49774052187418083
20,scene2,CA1,CA23,123,0.07560045975934117
20,scene2,CA1,CA23,124,-0.247158212595226
20,scene2,CA1,CA23,125,0.5120278607747573
20,scene2,CA1,CA23,126,1.0887220412848198
20,scene2,CA1,CA23,127,-0.812042511316379
20,scene2,CA1,CA23,128,1.567216427618744
20,scene2,CA1,CA23,129,-0.17825652079043372
20,scene2,CA1,CA23,130,1.6679286930941375
20,scene2,CA1,CA23,131,0.06975796149539606
20,scene2,CA1,CA23,132,0.9178030003557976
20,scene2,CA1,CA23,133,0.16964853953960718
20,scene2,CA1,CA23,134,-0.6310445505492097
20,scene2,CA1,CA23,135,0.7002786029806671
20,scene2,CA1,CA23,136,0.005296714298092738
20,scene2,CA1,CA23,137,0.42159556582267305
20,scene2,CA1,CA23,138,-1.469241004280849
20,scene2,CA1,CA23,139,-0.3600086990557817
20,scene2,CA1,CA23,140,3.027336684719334
20,scene2,CA1,CA23,141,-0.9519507494404096
20,scene2,CA1,CA23,142,-0.12286401158221677
20,scene2,CA1,CA23,143,-0.025236949481821102
20,scene2,CA1,CA23,144,0.07445630753276822
20,scene2,CA1,CA23,145,-0.1971501819731835
20,scene2,CA1,CA23,146,0.01904867317876864
20,scene2,CA1,CA23,147,0.1769251286420588
20,scene2,CA1,CA23,148,-0.25563504375439333
20,scene2,CA1,CA23,149,0.03068962263092136
20,scene2,CA1,CA23,150,0.8440431858315915
