subID,run,roi1,roi2,TR,ets
45,scene2,CA1,CA23,0,-1.5956087599423607
45,scene2,CA1,CA23,1,2.5342351761020407
45,scene2,CA1,CA23,2,1.157433416267963
45,scene2,CA1,CA23,3,-0.6706672073694043
45,scene2,CA1,CA23,4,0.1741164233757543
45,scene2,CA1,CA23,5,0.2519219425943055
45,scene2,CA1,CA23,6,-0.05211574068788385
45,scene2,CA1,CA23,7,0.028143250793450963
45,scene2,CA1,CA23,8,-0.05557643421548662
45,scene2,CA1,CA23,9,-0.04224156414891624
45,scene2,CA1,CA23,10,0.6140174508577607
45,scene2,CA1,CA23,11,0.6482627193997044
45,scene2,CA1,CA23,12,0.8312971385385071
45,scene2,CA1,CA23,13,-0.8352477031038449
45,scene2,CA1,CA23,14,1.159185809892291
45,scene2,CA1,CA23,15,0.16098498522705904
45,scene2,CA1,CA23,16,3.7452041187856646
45,scene2,CA1,CA23,17,0.9797242163264536
45,scene2,CA1,CA23,18,0.24941452241247086
45,scene2,CA1,CA23,19,0.22700860261562533
45,scene2,CA1,CA23,20,1.0942016695210766
45,scene2,CA1,CA23,21,-0.10179884704212075
45,scene2,CA1,CA23,22,-1.7681072604758226
45,scene2,CA1,CA23,23,-0.0653974172985995
45,scene2,CA1,CA23,24,1.2401119326026784
45,scene2,CA1,CA23,25,1.294310167192454
45,scene2,CA1,CA23,26,-0.8134918525036727
45,scene2,CA1,CA23,27,4.41236203092373
45,scene2,CA1,CA23,28,0.2638704537701713
45,scene2,CA1,CA23,29,-1.1189997204579276
45,scene2,CA1,CA23,30,-0.22459684277264885
45,scene2,CA1,CA23,31,0.00014698813973763693
45,scene2,CA1,CA23,32,0.0017333016144877185
45,scene2,CA1,CA23,33,0.4620554410652932
45,scene2,CA1,CA23,34,2.1920913343668564
45,scene2,CA1,CA23,35,0.23764044356677463
45,scene2,CA1,CA23,36,-0.01454723813713392
45,scene2,CA1,CA23,37,0.36675933526104176
45,scene2,CA1,CA23,38,-0.009789788274813542
45,scene2,CA1,CA23,39,0.39165968113084193
45,scene2,CA1,CA23,40,0.9853274087205287
45,scene2,CA1,CA23,41,-1.2584477526596898
45,scene2,CA1,CA23,42,0.03839016856501123
45,scene2,CA1,CA23,43,1.690443987814772
45,scene2,CA1,CA23,44,0.39226658981048096
45,scene2,CA1,CA23,45,-2.774835785105741
45,scene2,CA1,CA23,46,1.0490931979225462
45,scene2,CA1,CA23,47,-0.0004291663232552191
45,scene2,CA1,CA23,48,-0.049941690589888905
45,scene2,CA1,CA23,49,0.331206906900732
45,scene2,CA1,CA23,50,-0.4768064582275196
45,scene2,CA1,CA23,51,0.0029392321377903273
45,scene2,CA1,CA23,52,-0.008072177361389276
45,scene2,CA1,CA23,53,-0.00012175562558074434
45,scene2,CA1,CA23,54,2.4341346259797407
45,scene2,CA1,CA23,55,0.0873560024067514
45,scene2,CA1,CA23,56,-0.49991645198812723
45,scene2,CA1,CA23,57,-0.0030164341445828463
45,scene2,CA1,CA23,58,-0.0026702190690010264
45,scene2,CA1,CA23,59,0.001602131890971365
45,scene2,CA1,CA23,60,0.009175699579745173
45,scene2,CA1,CA23,61,0.9269800952413616
45,scene2,CA1,CA23,62,0.6152943916042275
45,scene2,CA1,CA23,63,1.9821108757137658
45,scene2,CA1,CA23,64,5.013413360916653
45,scene2,CA1,CA23,65,3.282131563349371
45,scene2,CA1,CA23,66,3.456678400297072
45,scene2,CA1,CA23,67,0.49085117279323676
45,scene2,CA1,CA23,68,-0.2849725868187019
45,scene2,CA1,CA23,69,-8.89163419455222e-05
45,scene2,CA1,CA23,70,-0.001277369421883931
45,scene2,CA1,CA23,71,-0.0020349404745494846
45,scene2,CA1,CA23,72,0.7905487436981937
45,scene2,CA1,CA23,73,-0.001377548714499483
45,scene2,CA1,CA23,74,1.325544616352135
45,scene2,CA1,CA23,75,0.12096405906749827
45,scene2,CA1,CA23,76,0.3023900880529805
45,scene2,CA1,CA23,77,-0.23982153113950777
45,scene2,CA1,CA23,78,0.6368253291821286
45,scene2,CA1,CA23,79,0.2863403716911483
45,scene2,CA1,CA23,80,2.633989043991421
45,scene2,CA1,CA23,81,0.5321450297591823
45,scene2,CA1,CA23,82,1.150923930020398
45,scene2,CA1,CA23,83,-1.8618230093044508
45,scene2,CA1,CA23,84,-0.058729770632378456
45,scene2,CA1,CA23,85,1.9786480253340768
45,scene2,CA1,CA23,86,2.385623143055403
45,scene2,CA1,CA23,87,-0.4047103450895296
45,scene2,CA1,CA23,88,0.10403457394506656
45,scene2,CA1,CA23,89,0.23630850635751263
45,scene2,CA1,CA23,90,-0.03900415699848643
45,scene2,CA1,CA23,91,-0.007281905251365189
45,scene2,CA1,CA23,92,-0.4755951553789107
45,scene2,CA1,CA23,93,-0.015110604224176294
45,scene2,CA1,CA23,94,-2.539451151319133
45,scene2,CA1,CA23,95,-0.15058256146814208
45,scene2,CA1,CA23,96,1.0577795056497286
45,scene2,CA1,CA23,97,1.1491781947186728
45,scene2,CA1,CA23,98,0.3614789535765183
45,scene2,CA1,CA23,99,-0.005036157907250248
45,scene2,CA1,CA23,100,-0.0037558597422148493
45,scene2,CA1,CA23,101,-0.0024030821243062063
45,scene2,CA1,CA23,102,-0.35186743904801226
45,scene2,CA1,CA23,103,-1.0988493473237775
45,scene2,CA1,CA23,104,1.1563701406788442
45,scene2,CA1,CA23,105,0.15017881510245695
45,scene2,CA1,CA23,106,-0.6629512660548129
45,scene2,CA1,CA23,107,-0.8156877319478157
45,scene2,CA1,CA23,108,-0.03573383469373548
45,scene2,CA1,CA23,109,0.16572032152717622
45,scene2,CA1,CA23,110,2.5724480941083363
45,scene2,CA1,CA23,111,-0.4779641388495345
45,scene2,CA1,CA23,112,0.42331716843545225
45,scene2,CA1,CA23,113,0.3032107556057601
45,scene2,CA1,CA23,114,-1.5815621380290188
45,scene2,CA1,CA23,115,-0.6571322176467709
45,scene2,CA1,CA23,116,-0.16823137751083544
45,scene2,CA1,CA23,117,1.8680507479446924
45,scene2,CA1,CA23,118,-0.34407149313698093
45,scene2,CA1,CA23,119,0.566900219571365
45,scene2,CA1,CA23,120,0.17636550440675855
45,scene2,CA1,CA23,121,-0.5746818997292993
45,scene2,CA1,CA23,122,-0.0010135726355000108
45,scene2,CA1,CA23,123,-3.2480288905807745e-05
45,scene2,CA1,CA23,124,-0.015007665710085214
45,scene2,CA1,CA23,125,-0.5504272440552409
45,scene2,CA1,CA23,126,1.0323848023389999
45,scene2,CA1,CA23,127,1.1017397547689656
45,scene2,CA1,CA23,128,0.1306826268537704
45,scene2,CA1,CA23,129,-0.00018935783815538548
45,scene2,CA1,CA23,130,0.2197864298792893
45,scene2,CA1,CA23,131,-0.03178095190123478
45,scene2,CA1,CA23,132,-0.10690460288409896
45,scene2,CA1,CA23,133,1.3418793180346833
45,scene2,CA1,CA23,134,2.331561697080784
45,scene2,CA1,CA23,135,0.4113783660606933
45,scene2,CA1,CA23,136,0.7092341044330664
45,scene2,CA1,CA23,137,-0.10216605150572275
45,scene2,CA1,CA23,138,1.481586499961942
45,scene2,CA1,CA23,139,0.6059533551368812
45,scene2,CA1,CA23,140,-0.005400449029460337
45,scene2,CA1,CA23,141,4.390403056337881
45,scene2,CA1,CA23,142,0.011775592137502464
45,scene2,CA1,CA23,143,-0.14112239352232525
45,scene2,CA1,CA23,144,-0.4095094916645277
45,scene2,CA1,CA23,145,-0.30999872104223386
45,scene2,CA1,CA23,146,1.1245811842887656
45,scene2,CA1,CA23,147,-0.08772104699758668
45,scene2,CA1,CA23,148,0.4797745529974843
45,scene2,CA1,CA23,149,1.0075443641119974
45,scene2,CA1,CA23,150,-0.004022904117191963
45,scene2,CA1,CA23,151,0.006382207875111365
45,scene2,CA1,CA23,152,0.1311858605669368
45,scene2,CA1,CA23,153,1.1593548675980139
45,scene2,CA1,CA23,154,0.0019673930372127394
45,scene2,CA1,CA23,155,0.009429699830521419
45,scene2,CA1,CA23,156,-0.007590435615898926
45,scene2,CA1,CA23,157,-0.004640784441820568
45,scene2,CA1,CA23,158,0.0009825597627126886
45,scene2,CA1,CA23,159,-0.004801467190001321
45,scene2,CA1,CA23,160,0.5938828231590234
45,scene2,CA1,CA23,161,-0.039793242572428465
45,scene2,CA1,CA23,162,-0.3573769382135803
45,scene2,CA1,CA23,163,0.31305600138100964
45,scene2,CA1,CA23,164,-0.6543035611592218
45,scene2,CA1,CA23,165,4.6648322468130825
45,scene2,CA1,CA23,166,3.5653557978863812
45,scene2,CA1,CA23,167,0.6734246973601605
45,scene2,CA1,CA23,168,-0.11756750512805074
45,scene2,CA1,CA23,169,1.2721748103580675
