subid	group	block	blocktrial	trial	img	category	ABX	TR	onset	encoded	rt	recogIdx	recogAcc	recogConf
84	1	1	0	0	lighthouses51.jpg	lighthouses	X	5	7.554706	1	2.22215700149536	-1	-1	-1
84	1	1	1	1	mountains31.jpg	mountains	B	8	11.987841	1	1.59691381454468	-1	-1	-1
84	1	1	2	2	lakes13.jpg	lakes	X	11	16.454546	1	2.49237513542175	-1	-1	-1
84	1	1	3	3	mountains35.jpg	mountains	B	14	20.954502	1	0.656452655792236	-1	-1	-1
84	1	1	4	4	bridges55.jpg	bridges	A	17	25.454789	1	1.10051870346069	-1	-1	-1
84	1	1	5	5	mountains3.jpg	mountains	B	19	28.454385	1	0.877589702606201	-1	-1	-1
84	1	1	6	6	deserts48.jpg	deserts	A	21	31.454324	1	0.654595851898193	-1	-1	-1
84	1	1	7	7	mountains34.jpg	mountains	B	23	34.454306	1	0.577633857727051	-1	-1	-1
84	1	1	8	8	fields48.jpg	fields	X	26	38.954165	1	0.678716897964478	-1	-1	-1
84	1	1	9	9	beaches7.jpg	beaches	B	28	41.954113	1	0.666872978210449	-1	-1	-1
84	1	1	10	10	canyons20.jpg	canyons	B	32	47.954049	1	1.0608868598938	-1	-1	-1
84	1	1	11	11	parks27.jpg	parks	X	36	53.953959	1	0.955966711044312	-1	-1	-1
84	1	1	12	12	fields53.jpg	fields	X	40	59.953856	1	0.798131942749023	-1	-1	-1
84	1	1	13	13	deserts45.jpg	deserts	A	42	62.953888	1	0.924140453338623	-1	-1	-1
84	1	1	14	14	canyons18.jpg	canyons	B	44	65.953797	1	0.655159711837769	-1	-1	-1
84	1	1	15	15	fields31.jpg	fields	X	47	70.453759	1	0.616250514984131	-1	-1	-1
84	1	1	16	16	forests56.jpg	forests	A	51	76.453748	1	1.17039918899536	-1	-1	-1
84	1	1	17	17	deserts36.jpg	deserts	A	53	79.453668	1	0.582425355911255	-1	-1	-1
84	1	1	18	18	bridges30.jpg	bridges	A	55	82.453568	1	0.809492826461792	-1	-1	-1
84	1	1	19	19	marshes20.jpg	marshes	X	57	85.453546	1	1.12053275108337	-1	-1	-1
84	1	1	20	20	waterfalls27.jpg	waterfalls	X	60	89.953423	1	1.43551516532898	-1	-1	-1
84	1	1	21	21	forests22.jpg	forests	A	62	92.953398	1	0.876653909683228	-1	-1	-1
84	1	1	22	22	deserts14.jpg	deserts	A	66	98.953409	1	0.89069390296936	-1	-1	-1
84	1	1	23	23	lighthouses15.jpg	lighthouses	X	69	103.45326	1	0.77676796913147	-1	-1	-1
84	1	1	24	24	beaches44.jpg	beaches	B	71	106.453233	1	0.727821826934814	-1	-1	-1
84	1	1	25	25	marshes19.jpg	marshes	X	75	112.453155	1	0.687921047210693	-1	-1	-1
84	1	1	26	26	mountains22.jpg	mountains	B	77	115.45311	1	0.913980007171631	-1	-1	-1
84	1	1	27	27	fields41.jpg	fields	X	80	119.953049	1	1.03807592391968	-1	-1	-1
84	1	1	28	28	lighthouses12.jpg	lighthouses	X	83	124.452948	1	0.628082275390625	-1	-1	-1
84	1	1	29	29	canyons1.jpg	canyons	B	85	127.452928	1	1.07615160942078	-1	-1	-1
84	1	1	30	30	lighthouses14.jpg	lighthouses	X	87	130.45287	1	0.657183885574341	-1	-1	-1
84	1	1	31	31	bridges24.jpg	bridges	A	91	136.452782	1	1.38930797576904	-1	-1	-1
84	1	1	32	32	canyons22.jpg	canyons	B	93	139.452768	1	0.756365776062012	-1	-1	-1
84	1	1	33	33	lakes27.jpg	lakes	X	96	143.952674	1	0.963464021682739	-1	-1	-1
84	1	1	34	34	forests17.jpg	forests	A	98	146.952627	1	0.679508924484253	-1	-1	-1
84	1	1	35	35	deserts17.jpg	deserts	A	100	149.952646	1	1.10251879692078	-1	-1	-1
84	1	1	36	36	waterfalls6.jpg	waterfalls	X	104	155.952549	1	0.973626852035522	-1	-1	-1
84	1	1	37	37	forests31.jpg	forests	A	107	160.452475	1	0.556687831878662	-1	-1	-1
84	1	1	38	38	marshes5.jpg	marshes	X	109	163.452456	1	0.616786479949951	-1	-1	-1
