subid	group	block	blocktrial	trial	img	category	ABX	TR	onset	encoded	rt	recogIdx	recogAcc	recogConf
39	0	1	61	61	lakes15.jpg	lakes	X	174	260.980585	1	0.709448575973511	-1	-1	-1
39	0	1	62	62	parks39.jpg	parks	X	177	265.48053	1	0.832508563995361	-1	-1	-1
39	0	1	63	63	marshes42.jpg	marshes	A	180	269.980536	1	0.649587631225586	-1	-1	-1
39	0	1	64	64	deserts23.jpg	deserts	B	183	274.480468	1	0.707658767700195	-1	-1	-1
39	0	1	65	65	parks2.jpg	parks	X	187	280.480448	1	0.696766138076782	-1	-1	-1
39	0	1	66	66	beaches8.jpg	beaches	X	190	284.980372	1	0.652894258499146	-1	-1	-1
39	0	1	67	67	deserts17.jpg	deserts	B	193	289.480273	1	0.718954801559448	-1	-1	-1
39	0	1	68	68	forests31.jpg	forests	X	195	292.480262	1	0.689968109130859	-1	-1	-1
39	0	1	69	69	bridges33.jpg	bridges	B	199	298.480203	1	0.706135988235474	-1	-1	-1
39	0	1	70	70	marshes19.jpg	marshes	A	203	304.479978	1	0.578278541564941	-1	-1	-1
39	0	1	71	71	lighthouses23.jpg	lighthouses	A	206	308.979939	1	0.696310520172119	-1	-1	-1
39	0	1	72	72	canyons55.jpg	canyons	B	208	311.979939	1	0.748393535614014	-1	-1	-1
39	0	1	73	73	marshes43.jpg	marshes	A	212	317.979769	1	0.733444690704346	-1	-1	-1
39	0	1	74	74	deserts13.jpg	deserts	B	215	322.47972	1	0.676506757736206	-1	-1	-1
39	0	1	75	75	mountains30.jpg	mountains	X	219	328.479621	1	0.664617776870728	-1	-1	-1
39	0	1	76	76	beaches25.jpg	beaches	X	221	331.479597	1	0.654672384262085	-1	-1	-1
39	0	1	77	77	lighthouses7.jpg	lighthouses	A	223	334.479545	1	0.760716676712036	-1	-1	-1
39	0	1	78	78	waterfalls18.jpg	waterfalls	A	227	340.47946	1	1.07080864906311	-1	-1	-1
39	0	1	79	79	canyons50.jpg	canyons	B	229	343.47942	1	0.863864660263062	-1	-1	-1
39	0	1	80	80	parks19.jpg	parks	X	231	346.479414	1	0.773907661437988	-1	-1	-1
39	0	1	81	81	fields48.jpg	fields	X	233	349.479322	1	0.573925733566284	-1	-1	-1
39	0	1	82	82	deserts38.jpg	deserts	B	236	353.979253	1	0.633964776992798	-1	-1	-1
39	0	1	83	83	beaches17.jpg	beaches	X	239	358.479201	1	0.774076461791992	-1	-1	-1
39	0	2	0	84	parks18.jpg	parks	X	5	7.675501	1	0.816341638565063	456	0	4
39	0	2	1	85	beaches16.jpg	beaches	X	8	12.008449	1	0.589964628219604	449	1	4
39	0	2	2	86	fields21.jpg	fields	X	11	16.508404	1	0.584158420562744	134	1	2
39	0	2	3	87	lakes31.jpg	lakes	X	13	19.5084	1	0.599201440811157	265	1	3
39	0	2	4	88	fields36.jpg	fields	X	16	24.008313	1	0.608270645141602	439	1	4
39	0	2	5	89	forests1.jpg	forests	X	19	28.508252	1	0.605332612991333	144	0	2
