subid	trial	img	categ	cond	rep	answer	trialdur	acc	rt	resp	group	block	ITI
1	42	marshes32.jpg	marshes	X	2	no	0.999947	1	0.62887454032898	j	0	1	3.5
1	43	mountains43.jpg	mountains	B	3	no	0.999917	1	0.677973747253418	j	0	1	2
1	44	marshes31.jpg	marshes	X	3	no	0.999919	1	0.686002969741821	j	0	1	5
1	45	forests30.jpg	forests	X	2	no	0.999996	1	0.531129598617554	j	0	1	2
1	46	fields35.jpg	fields	A	4	yes	0.999867	1	0.658477783203125	k	0	1	2
1	47	mountains47.jpg	mountains	B	4	no	0.999885	1	0.535218954086304	j	0	1	5
1	48	beaches10.jpg	beaches	X	3	yes	1.000114	1	0.748286485671997	k	0	1	2
1	49	mountains26.jpg	mountains	B	5	no	0.99997	1	0.595340967178345	j	0	1	2
1	50	waterfalls47.jpg	waterfalls	A	4	no	1.000005	1	0.675383567810059	j	0	1	5
1	51	canyons20.jpg	canyons	X	3	no	0.99995	1	0.526533603668213	j	0	1	2
1	52	forests24.jpg	forests	X	3	no	0.99993	1	0.450518846511841	j	0	1	2
1	53	beaches28.jpg	beaches	X	4	yes	0.999848	1	0.543593645095825	k	0	1	5
1	54	lakes7.jpg	lakes	X	4	yes	0.999909	1	0.688673973083496	k	0	1	2
1	55	beaches6.jpg	beaches	X	5	yes	0.999917	1	0.558739900588989	k	0	1	5
1	56	forests11.jpg	forests	X	4	no	0.999882	1	0.474164009094238	j	0	1	2
1	57	fields19.jpg	fields	A	5	yes	0.999911	1	0.768888711929321	k	0	1	5
1	58	bridges23.jpg	bridges	A	3	yes	0.999999	1	0.515984535217285	k	0	1	3.5
1	59	deserts23.jpg	deserts	X	4	no	0.99992	1	0.479091882705689	j	0	1	5
1	60	canyons26.jpg	canyons	X	4	no	0.999904	1	0.752180576324463	j	0	1	2
1	61	lighthouses50.jpg	lighthouses	B	5	yes	0.999998	1	0.588221549987793	k	0	1	2
1	62	waterfalls53.jpg	waterfalls	A	5	no	0.999971	1	0.530304431915283	j	0	1	3.5
1	63	lakes53.jpg	lakes	X	5	yes	0.999992	1	0.507354736328125	k	0	1	5
1	64	canyons51.jpg	canyons	X	5	no	0.999965	1	0.498429536819458	j	0	1	5
1	65	deserts49.jpg	deserts	X	5	no	0.999868	1	0.516861915588379	j	0	1	3.5
1	66	bridges34.jpg	bridges	A	4	yes	0.999904	1	0.48356556892395	k	0	1	2
1	67	beaches22.jpg	beaches	X	6	yes	0.999993	1	0.705654621124268	k	0	1	3.5
1	68	marshes49.jpg	marshes	X	4	no	0.999985	1	0.725735664367676	j	0	1	2
1	69	deserts52.jpg	deserts	X	6	no	0.999893	1	0.541116714477539	j	0	1	2
1	70	marshes35.jpg	marshes	X	5	no	1.00001	1	0.591833591461182	j	0	1	2
1	71	mountains1.jpg	mountains	B	6	no	0.999998	1	0.518873929977417	j	0	1	2
1	72	parks2.jpg	parks	B	5	yes	0.999989	1	0.621919870376587	k	0	1	3.5
1	73	waterfalls20.jpg	waterfalls	A	6	no	0.999967	1	0.665001630783081	j	0	1	3.5
1	74	forests44.jpg	forests	X	5	no	0.999844	1	0.632116794586182	j	0	1	5
1	75	lakes44.jpg	lakes	X	6	yes	0.999902	1	0.53651762008667	k	0	1	3.5
1	76	bridges2.jpg	bridges	A	5	yes	0.999936	1	0.552259922027588	k	0	1	3.5
1	77	marshes28.jpg	marshes	X	6	no	0.999827	1	0.578665733337402	j	0	1	2
1	78	forests4.jpg	forests	X	6	no	0.999799	1	0.728378534317017	j	0	1	2
1	79	fields53.jpg	fields	A	6	yes	1	1	0.715423583984375	k	0	1	3.5
1	80	bridges45.jpg	bridges	A	6	yes	0.999983	1	0.466548442840576	k	0	1	5
1	81	canyons55.jpg	canyons	X	6	no	0.999947	1	0.595615386962891	j	0	1	3.5
1	82	parks3.jpg	parks	B	6	yes	1.000035	1	0.66267466545105	k	0	1	3.5
1	83	lighthouses15.jpg	lighthouses	B	6	yes	0.999891	1	0.47908091545105	k	0	1	3.5
1	0	fields47.jpg	fields	A	7	yes	0.999988	1	1.21298265457153	k	0	2	3.5
1	1	parks32.jpg	parks	B	7	yes	0.999928	1	0.689953565597534	k	0	2	3.5
