subid	group	block	blocktrial	trial	img	category	ABX	TR	onset	encoded	rt	recogIdx	recogAcc	recogConf
76	0	1	0	0	mountains31.jpg	mountains	X	5	7.454462	1	1.03159928321838	-1	-1	-1
76	0	1	1	1	marshes2.jpg	marshes	B	9	13.504285	1	1.07466554641724	-1	-1	-1
76	0	1	2	2	beaches39.jpg	beaches	A	13	19.470945	1	2.09409809112549	-1	-1	-1
76	0	1	3	3	waterfalls34.jpg	waterfalls	X	16	23.970875	1	0.794173240661621	-1	-1	-1
76	0	1	4	4	bridges50.jpg	bridges	B	18	26.971246	1	1.48941659927368	-1	-1	-1
76	0	1	5	5	waterfalls19.jpg	waterfalls	X	21	31.470745	1	0.859262466430664	-1	-1	-1
76	0	1	6	6	fields39.jpg	fields	X	25	37.470674	1	0.978399753570557	-1	-1	-1
76	0	1	7	7	lighthouses50.jpg	lighthouses	A	28	41.970639	1	0.879468202590942	-1	-1	-1
76	0	1	8	8	marshes41.jpg	marshes	B	31	46.470607	1	0.830524206161499	-1	-1	-1
76	0	1	9	9	beaches27.jpg	beaches	A	35	52.470551	1	1.19464516639709	-1	-1	-1
76	0	1	10	10	marshes21.jpg	marshes	B	38	56.970523	1	1.3397421836853	-1	-1	-1
76	0	1	11	11	deserts41.jpg	deserts	X	40	59.970474	1	1.13475203514099	-1	-1	-1
76	0	1	12	12	lakes13.jpg	lakes	A	42	62.970427	1	1.60085248947144	-1	-1	-1
76	0	1	13	13	mountains29.jpg	mountains	X	44	65.970429	1	1.309818983078	-1	-1	-1
76	0	1	14	14	parks33.jpg	parks	X	47	70.47034	1	1.51790642738342	-1	-1	-1
76	0	1	15	15	forests11.jpg	forests	X	50	74.970561	1	1.24301695823669	-1	-1	-1
76	0	1	16	16	canyons52.jpg	canyons	B	53	79.470225	1	1.32406163215637	-1	-1	-1
76	0	1	17	17	fields20.jpg	fields	X	56	83.970047	1	1.1391441822052	-1	-1	-1
76	0	1	18	18	bridges47.jpg	bridges	B	59	88.470203	1	1.27520513534546	-1	-1	-1
76	0	1	19	19	marshes14.jpg	marshes	B	62	92.970167	1	0.946297407150269	-1	-1	-1
76	0	1	20	20	waterfalls7.jpg	waterfalls	X	65	97.470125	1	0.839401006698608	-1	-1	-1
76	0	1	21	21	beaches35.jpg	beaches	A	67	100.470033	1	1.50536417961121	-1	-1	-1
76	0	1	22	22	deserts38.jpg	deserts	X	70	104.969946	1	1.24755644798279	-1	-1	-1
76	0	1	23	23	waterfalls21.jpg	waterfalls	X	72	107.969908	1	1.07261037826538	-1	-1	-1
76	0	1	24	24	canyons55.jpg	canyons	B	75	112.469659	1	1.48881268501282	-1	-1	-1
76	0	1	25	25	bridges3.jpg	bridges	B	78	116.969819	1	0.932756662368774	-1	-1	-1
76	0	1	26	26	forests29.jpg	forests	X	81	121.469786	1	0.862837314605713	-1	-1	-1
76	0	1	27	27	canyons16.jpg	canyons	B	84	125.969737	1	1.69388508796692	-1	-1	-1
76	0	1	28	28	lakes40.jpg	lakes	A	87	130.469654	1	1.79393768310547	-1	-1	-1
76	0	1	29	29	bridges41.jpg	bridges	B	90	134.969585	1	1.28903961181641	-1	-1	-1
76	0	1	30	30	parks40.jpg	parks	X	93	139.469557	1	2.31210541725159	-1	-1	-1
76	0	1	31	31	deserts31.jpg	deserts	X	96	143.969541	1	1.312175989151	-1	-1	-1
76	0	1	32	32	waterfalls45.jpg	waterfalls	X	98	146.969452	1	1.38118648529053	-1	-1	-1
76	0	1	33	33	bridges36.jpg	bridges	B	101	151.469431	1	1.19028115272522	-1	-1	-1
76	0	1	34	34	lakes19.jpg	lakes	A	105	157.469348	1	1.30342245101929	-1	-1	-1
76	0	1	35	35	marshes29.jpg	marshes	B	107	160.469297	1	1.11645722389221	-1	-1	-1
76	0	1	36	36	canyons48.jpg	canyons	B	110	164.969291	1	1.34452986717224	-1	-1	-1
76	0	1	37	37	parks9.jpg	parks	X	112	167.969218	1	1.41753244400024	-1	-1	-1
76	0	1	38	38	mountains44.jpg	mountains	X	114	170.969234	1	0.743623018264771	-1	-1	-1
76	0	1	39	39	lakes18.jpg	lakes	A	118	176.969124	1	1.89775943756104	-1	-1	-1
76	0	1	40	40	lighthouses39.jpg	lighthouses	A	122	182.969039	1	1.15880012512207	-1	-1	-1
76	0	1	41	41	parks12.jpg	parks	X	124	185.969015	1	0.770922899246216	-1	-1	-1
76	0	1	42	42	fields5.jpg	fields	X	126	188.968937	1	0.770932674407959	-1	-1	-1
76	0	1	43	43	lighthouses15.jpg	lighthouses	A	128	191.968892	1	0.784981727600098	-1	-1	-1
76	0	1	44	44	canyons51.jpg	canyons	B	130	194.968877	1	1.26904153823853	-1	-1	-1
76	0	1	45	45	lakes41.jpg	lakes	A	134	200.968802	1	0.880149364471436	-1	-1	-1
76	0	1	46	46	waterfalls33.jpg	waterfalls	X	138	206.968698	1	1.10025763511658	-1	-1	-1
76	0	1	47	47	lakes42.jpg	lakes	A	140	209.968718	1	0.688269138336182	-1	-1	-1
76	0	1	48	48	forests18.jpg	forests	X	142	212.968658	1	1.23334145545959	-1	-1	-1
76	0	1	49	49	deserts5.jpg	deserts	X	145	217.468579	1	1.15741324424744	-1	-1	-1
76	0	1	50	50	forests51.jpg	forests	X	147	220.468529	1	1.04846668243408	-1	-1	-1
76	0	1	51	51	beaches3.jpg	beaches	A	151	226.468494	1	0.99357008934021	-1	-1	-1
76	0	1	52	52	forests16.jpg	forests	X	153	229.468432	1	0.843631505966187	-1	-1	-1
76	0	1	53	53	bridges22.jpg	bridges	B	157	235.468374	1	0.863726139068604	-1	-1	-1
76	0	1	54	54	fields10.jpg	fields	X	161	241.468298	1	0.799823045730591	-1	-1	-1
76	0	1	55	55	forests17.jpg	forests	X	164	245.968235	1	0.809923887252808	-1	-1	-1
76	0	1	56	56	canyons25.jpg	canyons	B	166	248.968192	1	0.682958364486694	-1	-1	-1
76	0	1	57	57	mountains34.jpg	mountains	X	168	251.968189	1	1.2669939994812	-1	-1	-1
76	0	1	58	58	lighthouses20.jpg	lighthouses	A	172	257.968078	1	0.716120004653931	-1	-1	-1
76	0	1	59	59	waterfalls6.jpg	waterfalls	X	174	260.968004	1	0.729165554046631	-1	-1	-1
76	0	1	60	60	deserts20.jpg	deserts	X	176	263.967987	1	0.819198131561279	-1	-1	-1
76	0	1	61	61	marshes26.jpg	marshes	B	178	266.967942	1	0.950293302536011	-1	-1	-1
76	0	1	62	62	parks30.jpg	parks	X	180	269.967902	1	0.987320184707642	-1	-1	-1
76	0	1	63	63	marshes33.jpg	marshes	B	183	274.467867	1	0.714354991912842	-1	-1	-1
76	0	1	64	64	lighthouses51.jpg	lighthouses	A	186	278.967738	1	0.774459838867188	-1	-1	-1
76	0	1	65	65	fields12.jpg	fields	X	188	281.967736	1	1.30849623680115	-1	-1	-1
76	0	1	66	66	deserts48.jpg	deserts	X	190	284.967705	1	1.10758709907532	-1	-1	-1
76	0	1	67	67	beaches50.jpg	beaches	A	192	287.967679	1	0.764610052108765	-1	-1	-1
76	0	1	68	68	parks14.jpg	parks	X	194	290.967639	1	1.41262674331665	-1	-1	-1
76	0	1	69	69	mountains52.jpg	mountains	X	198	296.967543	1	1.06876015663147	-1	-1	-1
76	0	1	70	70	lighthouses37.jpg	lighthouses	A	200	299.967498	1	0.663816213607788	-1	-1	-1
76	0	1	71	71	forests13.jpg	forests	X	202	302.967419	1	0.874861717224121	-1	-1	-1
76	0	1	72	72	deserts8.jpg	deserts	X	205	307.517143	1	0.77296781539917	-1	-1	-1
76	0	1	73	73	mountains8.jpg	mountains	X	207	310.467375	1	0.664983034133911	-1	-1	-1
76	0	1	74	74	canyons35.jpg	canyons	B	211	316.467299	1	0.693102121353149	-1	-1	-1
76	0	1	75	75	fields14.jpg	fields	X	214	320.967238	1	0.900145053863525	-1	-1	-1
76	0	1	76	76	beaches48.jpg	beaches	A	218	326.967168	1	0.775285959243774	-1	-1	-1
76	0	1	77	77	bridges38.jpg	bridges	B	220	329.967053	1	0.630329370498657	-1	-1	-1
76	0	1	78	78	lakes29.jpg	lakes	A	223	334.467006	1	0.678454399108887	-1	-1	-1
76	0	1	79	79	fields56.jpg	fields	X	226	338.966946	1	0.608465194702148	-1	-1	-1
76	0	1	80	80	mountains1.jpg	mountains	X	229	343.466959	1	1.96260046958923	-1	-1	-1
76	0	1	81	81	parks3.jpg	parks	X	233	349.466823	1	0.893668174743652	-1	-1	-1
76	0	1	82	82	beaches43.jpg	beaches	A	237	355.466718	1	0.675798177719116	-1	-1	-1
76	0	1	83	83	lighthouses46.jpg	lighthouses	A	239	358.466668	1	0.665858030319214	-1	-1	-1
76	0	2	0	84	deserts50.jpg	deserts	X	5	7.50683	1	1.08640766143799	102	1	2
76	0	2	1	85	beaches16.jpg	beaches	A	8	12.023261	1	1.80076265335083	66	1	4
76	0	2	2	86	marshes6.jpg	marshes	B	10	15.023274	1	0.819850921630859	409	1	2
76	0	2	3	87	lakes14.jpg	lakes	A	12	18.023314	1	0.792900085449219	330	1	4
76	0	2	4	88	bridges56.jpg	bridges	B	15	22.523104	1	0.749002695083618	292	1	2
76	0	2	5	89	parks43.jpg	parks	X	18	27.023031	1	0.705116748809814	166	1	3
76	0	2	6	90	waterfalls41.jpg	waterfalls	X	20	30.02306	1	0.742156982421875	398	0	3
76	0	2	7	91	deserts1.jpg	deserts	X	24	36.022879	1	0.76521897315979	253	0	2
76	0	2	8	92	lakes48.jpg	lakes	A	26	39.022901	1	0.691317081451416	286	1	2
