subid	group	block	blocktrial	trial	img	category	ABX	TR	onset	encoded	rt	recogIdx	recogAcc	recogConf
67	0	1	0	0	marshes13.jpg	marshes	X	5	7.57956	1	1.22054767608643	-1	-1	-1
67	0	1	1	1	mountains22.jpg	mountains	A	8	12.046316	1	0.770954370498657	-1	-1	-1
67	0	1	2	2	waterfalls3.jpg	waterfalls	X	12	17.96264	1	0.632448673248291	-1	-1	-1
67	0	1	3	3	canyons35.jpg	canyons	A	14	20.962605	1	0.621516704559326	-1	-1	-1
67	0	1	4	4	mountains16.jpg	mountains	A	17	25.479676	1	0.5238938331604	-1	-1	-1
67	0	1	5	5	lakes20.jpg	lakes	A	20	29.979257	1	0.742960691452026	-1	-1	-1
67	0	1	6	6	bridges9.jpg	bridges	X	23	34.462388	1	0.640719652175903	-1	-1	-1
67	0	1	7	7	lakes17.jpg	lakes	A	27	40.4623	1	0.709767818450928	-1	-1	-1
67	0	1	8	8	fields7.jpg	fields	B	29	43.462258	1	0.95778489112854	-1	-1	-1
67	0	1	9	9	bridges33.jpg	bridges	X	33	49.462234	1	0.814911603927612	-1	-1	-1
67	0	1	10	10	parks12.jpg	parks	X	36	53.962161	1	0.599920511245728	-1	-1	-1
67	0	1	11	11	lighthouses55.jpg	lighthouses	B	38	56.978874	1	0.601418256759644	-1	-1	-1
67	0	1	12	12	lakes42.jpg	lakes	A	42	62.962014	1	0.623180389404297	-1	-1	-1
67	0	1	13	13	canyons25.jpg	canyons	A	46	68.961999	1	0.742222547531128	-1	-1	-1
67	0	1	14	14	marshes42.jpg	marshes	X	48	71.962016	1	0.830339193344116	-1	-1	-1
67	0	1	15	15	fields28.jpg	fields	B	50	74.961887	1	1.02135539054871	-1	-1	-1
67	0	1	16	16	beaches34.jpg	beaches	X	53	79.461806	1	0.469422578811646	-1	-1	-1
67	0	1	17	17	marshes24.jpg	marshes	X	57	85.461801	1	0.883559703826904	-1	-1	-1
67	0	1	18	18	forests28.jpg	forests	X	60	89.961648	1	0.83959174156189	-1	-1	-1
67	0	1	19	19	deserts45.jpg	deserts	B	63	94.461629	1	0.861699104309082	-1	-1	-1
67	0	1	20	20	fields31.jpg	fields	B	65	97.461529	1	0.794705629348755	-1	-1	-1
67	0	1	21	21	waterfalls24.jpg	waterfalls	X	69	103.461435	1	0.924800634384155	-1	-1	-1
67	0	1	22	22	lakes6.jpg	lakes	A	71	106.461398	1	0.878853559494019	-1	-1	-1
67	0	1	23	23	marshes55.jpg	marshes	X	73	109.461358	1	0.88092041015625	-1	-1	-1
67	0	1	24	24	beaches12.jpg	beaches	X	75	112.461322	1	0.863929510116577	-1	-1	-1
67	0	1	25	25	lakes13.jpg	lakes	A	79	118.478061	1	1.09934520721436	-1	-1	-1
67	0	1	26	26	forests31.jpg	forests	X	82	122.978059	1	0.610463619232178	-1	-1	-1
67	0	1	27	27	waterfalls16.jpg	waterfalls	X	85	127.477937	1	0.835499048233032	-1	-1	-1
67	0	1	28	28	lakes1.jpg	lakes	A	87	130.46113	1	0.89731764793396	-1	-1	-1
67	0	1	29	29	forests49.jpg	forests	X	89	133.46104	1	0.787317752838135	-1	-1	-1
67	0	1	30	30	mountains27.jpg	mountains	A	91	136.46098	1	0.684335708618164	-1	-1	-1
67	0	1	31	31	bridges45.jpg	bridges	X	94	140.960929	1	1.15438652038574	-1	-1	-1
67	0	1	32	32	waterfalls43.jpg	waterfalls	X	98	146.960983	1	1.01257610321045	-1	-1	-1
67	0	1	33	33	fields30.jpg	fields	B	101	151.460928	1	0.760671854019165	-1	-1	-1
67	0	1	34	34	forests25.jpg	forests	X	103	154.460927	1	0.823632478713989	-1	-1	-1
67	0	1	35	35	deserts28.jpg	deserts	B	105	157.460773	1	1.36773467063904	-1	-1	-1
67	0	1	36	36	mountains10.jpg	mountains	A	107	160.477538	1	0.821043729782104	-1	-1	-1
67	0	1	37	37	parks45.jpg	parks	X	109	163.460681	1	0.61876368522644	-1	-1	-1
67	0	1	38	38	lighthouses47.jpg	lighthouses	B	111	166.460634	1	0.589828968048096	-1	-1	-1
67	0	1	39	39	waterfalls11.jpg	waterfalls	X	115	172.477256	1	0.80628776550293	-1	-1	-1
67	0	1	40	40	beaches47.jpg	beaches	X	118	176.977187	1	0.820387840270996	-1	-1	-1
67	0	1	41	41	deserts38.jpg	deserts	B	122	182.960323	0	NaN	-1	-1	-1
67	0	1	42	42	lighthouses16.jpg	lighthouses	B	124	186.010293	0	NaN	-1	-1	-1
67	0	1	43	43	canyons28.jpg	canyons	A	127	190.477009	1	1.13957071304321	-1	-1	-1
67	0	1	44	44	forests53.jpg	forests	X	130	194.976933	1	0.727658987045288	-1	-1	-1
67	0	1	45	45	beaches24.jpg	beaches	X	132	197.976908	1	0.857692718505859	-1	-1	-1
67	0	1	46	46	marshes29.jpg	marshes	X	136	203.976805	1	0.712785959243774	-1	-1	-1
67	0	1	47	47	beaches3.jpg	beaches	X	138	206.976786	1	1.57884478569031	-1	-1	-1
67	0	1	48	48	deserts41.jpg	deserts	B	140	209.976728	1	0.719858884811401	-1	-1	-1
67	0	1	49	49	parks49.jpg	parks	X	143	214.476656	1	0.799954891204834	-1	-1	-1
67	0	1	50	50	mountains45.jpg	mountains	A	147	220.476579	1	0.785047054290771	-1	-1	-1
67	0	1	51	51	parks34.jpg	parks	X	150	224.976527	1	0.82916259765625	-1	-1	-1
67	0	1	52	52	beaches39.jpg	beaches	X	153	229.476514	1	0.699230909347534	-1	-1	-1
67	0	1	53	53	lighthouses36.jpg	lighthouses	B	156	234.009687	1	0.990985631942749	-1	-1	-1
67	0	1	54	54	fields20.jpg	fields	B	158	236.976346	1	0.633384704589844	-1	-1	-1
67	0	1	55	55	marshes30.jpg	marshes	X	161	241.476261	1	0.878407001495361	-1	-1	-1
67	0	1	56	56	deserts46.jpg	deserts	B	164	245.976304	1	1.2624716758728	-1	-1	-1
67	0	1	57	57	mountains2.jpg	mountains	A	166	248.976233	1	0.753557682037354	-1	-1	-1
67	0	1	58	58	fields8.jpg	fields	B	169	253.476102	0	NaN	-1	-1	-1
67	0	1	59	59	canyons23.jpg	canyons	A	172	257.976184	1	0.70165228843689	-1	-1	-1
67	0	1	60	60	bridges4.jpg	bridges	X	176	263.976042	1	0.609735012054443	-1	-1	-1
67	0	1	61	61	canyons13.jpg	canyons	A	178	266.976005	1	1.03386473655701	-1	-1	-1
67	0	1	62	62	waterfalls19.jpg	waterfalls	X	181	271.475898	1	0.762885570526123	-1	-1	-1
67	0	1	63	63	mountains35.jpg	mountains	A	183	274.475891	1	1.13898468017578	-1	-1	-1
67	0	1	64	64	parks54.jpg	parks	X	186	278.975654	1	0.627059936523438	-1	-1	-1
67	0	1	65	65	marshes19.jpg	marshes	X	188	281.975692	1	0.746127843856812	-1	-1	-1
67	0	1	66	66	deserts33.jpg	deserts	B	192	287.975678	1	0.952252626419067	-1	-1	-1
67	0	1	67	67	canyons7.jpg	canyons	A	195	292.475547	0	NaN	-1	-1	-1
67	0	1	68	68	fields53.jpg	fields	B	198	296.97551	1	1.06532168388367	-1	-1	-1
67	0	1	69	69	bridges5.jpg	bridges	X	201	301.475411	1	0.677417993545532	-1	-1	-1
67	0	1	70	70	forests32.jpg	forests	X	203	304.475363	1	1.0534782409668	-1	-1	-1
67	0	1	71	71	lighthouses24.jpg	lighthouses	B	205	307.475317	0	NaN	-1	-1	-1
67	0	1	72	72	parks32.jpg	parks	X	207	310.475273	1	0.577569007873535	-1	-1	-1
67	0	1	73	73	beaches27.jpg	beaches	X	211	316.475202	1	0.684623003005981	-1	-1	-1
