subid	group	block	blocktrial	trial	img	category	ABX	TR	onset	encoded	rt	recogIdx	recogAcc	recogConf
3	0	1	0	0	waterfalls2.jpg	waterfalls	X	5	7.676918	1	1.88492774963379	-1	-1	-1
3	0	1	1	1	forests30.jpg	forests	A	9	13.510149	1	0.774573564529419	-1	-1	-1
3	0	1	2	2	lakes27.jpg	lakes	X	11	16.476847	1	0.940037727355957	-1	-1	-1
3	0	1	3	3	lighthouses26.jpg	lighthouses	X	14	20.976831	1	0.744148015975952	-1	-1	-1
3	0	1	4	4	canyons49.jpg	canyons	X	16	23.977028	1	0.810234546661377	-1	-1	-1
3	0	1	5	5	deserts50.jpg	deserts	X	19	28.476737	1	0.718274593353271	-1	-1	-1
3	0	1	6	6	beaches16.jpg	beaches	B	21	31.459814	1	1.22210764884949	-1	-1	-1
3	0	1	7	7	fields35.jpg	fields	B	23	34.459777	1	0.689006805419922	-1	-1	-1
3	0	1	8	8	beaches30.jpg	beaches	B	26	38.959736	1	0.636075735092163	-1	-1	-1
3	0	1	9	9	lakes14.jpg	lakes	X	28	41.959708	1	0.714169502258301	-1	-1	-1
3	0	1	10	10	fields40.jpg	fields	B	30	44.959694	1	0.64921236038208	-1	-1	-1
3	0	1	11	11	marshes25.jpg	marshes	X	32	47.959615	1	0.89525580406189	-1	-1	-1
3	0	1	12	12	deserts6.jpg	deserts	X	35	52.459623	1	0.640331983566284	-1	-1	-1
3	0	1	13	13	mountains52.jpg	mountains	B	38	56.95969	1	0.871395587921143	-1	-1	-1
3	0	1	14	14	lakes5.jpg	lakes	X	40	59.959545	1	0.7034592628479	-1	-1	-1
3	0	1	15	15	waterfalls22.jpg	waterfalls	X	42	62.959406	1	1.22150158882141	-1	-1	-1
3	0	1	16	16	marshes45.jpg	marshes	X	46	68.959295	1	0.854646682739258	-1	-1	-1
3	0	1	17	17	lakes6.jpg	lakes	X	48	71.959251	1	0.649627923965454	-1	-1	-1
3	0	1	18	18	parks25.jpg	parks	A	51	76.459199	1	0.69172739982605	-1	-1	-1
