subid	X
85	waterfalls
85	marshes
85	canyons
85	lakes
86	bridges
86	lighthouses
86	canyons
86	forests
86	marshes
86	parks
87	fields
87	parks
87	lighthouses
87	bridges
87	beaches
87	waterfalls
88	waterfalls
88	mountains
88	bridges
88	deserts
88	marshes
88	beaches
89	marshes
89	fields
89	mountains
89	canyons
89	lighthouses
89	lakes
90	bridges
90	deserts
90	fields
90	lakes
90	forests
90	lighthouses
91	forests
91	waterfalls
91	lighthouses
91	deserts
91	parks
91	canyons
92	forests
92	parks
92	deserts
92	waterfalls
92	mountains
92	canyons
93	deserts
93	marshes
93	beaches
93	forests
93	fields
93	lakes
94	deserts
94	mountains
94	beaches
94	bridges
94	canyons
94	waterfalls
95	mountains
95	parks
95	bridges
95	fields
95	lighthouses
95	lakes
96	mountains
96	marshes
96	beaches
96	lakes
96	fields
96	parks
98	lighthouses
98	fields
98	waterfalls
98	bridges
98	beaches
98	parks
100	beaches
100	waterfalls
100	marshes
100	lighthouses
100	lakes
100	deserts
101	bridges
101	lakes
101	canyons
101	waterfalls
101	fields
101	lighthouses
103	forests
103	parks
103	marshes
103	canyons
103	bridges
103	mountains
104	deserts
104	forests
104	lighthouses
104	canyons
104	marshes
104	lakes
105	canyons
105	forests
105	beaches
105	fields
105	lighthouses
105	bridges
106	deserts
106	fields
106	marshes
106	forests
106	mountains
106	parks
