subid	group	block	blocktrial	trial	img	category	ABX	TR	onset	encoded	rt	recogIdx	recogAcc	recogConf
106	0	1	0	0	marshes50.jpg	marshes	X	5	7.498125	1	1.15842652320862	-1	-1	-1
106	0	1	1	1	lakes5.jpg	lakes	B	7	10.431217	1	0.607033491134644	-1	-1	-1
106	0	1	2	2	forests41.jpg	forests	X	9	13.397887	1	0.787529945373535	-1	-1	-1
106	0	1	3	3	lighthouses32.jpg	lighthouses	A	12	17.947992	1	1.00661373138428	-1	-1	-1
106	0	1	4	4	marshes47.jpg	marshes	X	15	22.402203	1	0.884678840637207	-1	-1	-1
106	0	1	5	5	parks55.jpg	parks	X	17	25.397765	1	0.879663944244385	-1	-1	-1
106	0	1	6	6	deserts26.jpg	deserts	X	21	31.380868	1	0.56953239440918	-1	-1	-1
106	0	1	7	7	marshes29.jpg	marshes	X	25	37.397518	1	0.690920114517212	-1	-1	-1
106	0	1	8	8	fields51.jpg	fields	X	27	40.397501	1	0.585956811904907	-1	-1	-1
106	0	1	9	9	bridges12.jpg	bridges	A	31	46.397444	1	0.759049654006958	-1	-1	-1
106	0	1	10	10	lighthouses49.jpg	lighthouses	A	35	52.380583	1	0.839835643768311	-1	-1	-1
106	0	1	11	11	mountains21.jpg	mountains	X	38	56.897307	1	0.962157726287842	-1	-1	-1
106	0	1	12	12	beaches35.jpg	beaches	B	40	59.880512	1	1.14897727966309	-1	-1	-1
106	0	1	13	13	waterfalls21.jpg	waterfalls	A	44	65.897215	1	1.03337168693542	-1	-1	-1
106	0	1	14	14	parks43.jpg	parks	X	46	68.897205	1	0.51438570022583	-1	-1	-1
106	0	1	15	15	fields52.jpg	fields	X	48	71.897148	1	0.582445621490479	-1	-1	-1
106	0	1	16	16	waterfalls46.jpg	waterfalls	A	50	74.897102	1	0.829493522644043	-1	-1	-1
106	0	1	17	17	forests43.jpg	forests	X	52	77.897061	1	0.646615028381348	-1	-1	-1
106	0	1	18	18	mountains56.jpg	mountains	X	54	80.897057	1	0.604580879211426	-1	-1	-1
106	0	1	19	19	lakes6.jpg	lakes	B	57	85.396929	1	0.780757665634155	-1	-1	-1
106	0	1	20	20	lighthouses31.jpg	lighthouses	A	59	88.396896	1	0.572810888290405	-1	-1	-1
106	0	1	21	21	bridges47.jpg	bridges	A	61	91.396879	1	0.658849716186523	-1	-1	-1
106	0	1	22	22	canyons28.jpg	canyons	B	65	97.396908	1	0.606894493103027	-1	-1	-1
106	0	1	23	23	mountains29.jpg	mountains	X	68	101.896736	1	0.793002843856812	-1	-1	-1
106	0	1	24	24	parks48.jpg	parks	X	72	107.896668	1	0.665048837661743	-1	-1	-1
106	0	1	25	25	fields42.jpg	fields	X	75	112.396577	1	0.636134624481201	-1	-1	-1
106	0	1	26	26	lakes49.jpg	lakes	B	77	115.396543	1	0.823212623596191	-1	-1	-1
106	0	1	27	27	lighthouses55.jpg	lighthouses	A	79	118.396504	1	0.749233722686768	-1	-1	-1
106	0	1	28	28	fields45.jpg	fields	X	81	121.396431	1	0.796309232711792	-1	-1	-1
106	0	1	29	29	canyons1.jpg	canyons	B	84	125.896404	1	0.900434732437134	-1	-1	-1
106	0	1	30	30	lighthouses50.jpg	lighthouses	A	87	130.396338	1	0.543459892272949	-1	-1	-1
106	0	1	31	31	lakes27.jpg	lakes	B	90	134.896294	1	0.666508674621582	-1	-1	-1
106	0	1	32	32	parks2.jpg	parks	X	92	137.896227	1	1.09054207801819	-1	-1	-1
106	0	1	33	33	bridges56.jpg	bridges	A	96	143.896243	1	0.727656841278076	-1	-1	-1
106	0	1	34	34	deserts11.jpg	deserts	X	99	148.396128	1	0.955728769302368	-1	-1	-1
106	0	1	35	35	marshes44.jpg	marshes	X	101	151.396092	1	0.611782789230347	-1	-1	-1
106	0	1	36	36	canyons11.jpg	canyons	B	104	155.896041	1	0.722846984863281	-1	-1	-1
106	0	1	37	37	mountains37.jpg	mountains	X	107	160.395988	1	0.939900636672974	-1	-1	-1
106	0	1	38	38	fields34.jpg	fields	X	109	163.396038	1	0.914997339248657	-1	-1	-1
106	0	1	39	39	lakes21.jpg	lakes	B	111	166.39585	1	0.74204421043396	-1	-1	-1
106	0	1	40	40	marshes46.jpg	marshes	X	113	169.395829	1	0.79011082649231	-1	-1	-1
106	0	1	41	41	mountains7.jpg	mountains	X	115	172.3958	1	0.571166515350342	-1	-1	-1
106	0	1	42	42	forests36.jpg	forests	X	118	176.895743	1	0.544211864471436	-1	-1	-1
106	0	1	43	43	parks51.jpg	parks	X	120	179.895733	1	0.740269422531128	-1	-1	-1
106	0	1	44	44	waterfalls43.jpg	waterfalls	A	122	182.8957	1	0.791331768035889	-1	-1	-1
106	0	1	45	45	beaches19.jpg	beaches	B	125	187.395614	1	0.607342958450317	-1	-1	-1
106	0	1	46	46	lighthouses42.jpg	lighthouses	A	128	191.895545	1	0.646479845046997	-1	-1	-1
106	0	1	47	47	bridges46.jpg	bridges	A	132	197.895458	1	0.553567886352539	-1	-1	-1
106	0	1	48	48	canyons13.jpg	canyons	B	135	202.395385	1	0.70068097114563	-1	-1	-1
106	0	1	49	49	mountains45.jpg	mountains	X	138	206.895327	1	0.628714084625244	-1	-1	-1
106	0	1	50	50	canyons16.jpg	canyons	B	140	209.895324	1	0.722743034362793	-1	-1	-1
106	0	1	51	51	forests7.jpg	forests	X	143	214.395255	1	0.461806058883667	-1	-1	-1
106	0	1	52	52	beaches22.jpg	beaches	B	147	220.395189	1	0.779916763305664	-1	-1	-1
106	0	1	53	53	waterfalls39.jpg	waterfalls	A	151	226.395153	1	0.550030708312988	-1	-1	-1
106	0	1	54	54	deserts4.jpg	deserts	X	154	230.895042	1	0.751111030578613	-1	-1	-1
106	0	1	55	55	beaches39.jpg	beaches	B	157	235.39501	1	0.809130191802979	-1	-1	-1
106	0	1	56	56	deserts12.jpg	deserts	X	160	239.911585	1	0.600594997406006	-1	-1	-1
106	0	1	57	57	mountains35.jpg	mountains	X	163	244.394855	1	0.594265937805176	-1	-1	-1
106	0	1	58	58	deserts7.jpg	deserts	X	166	248.894783	1	0.673371076583862	-1	-1	-1
106	0	1	59	59	beaches55.jpg	beaches	B	168	251.894767	1	0.661420583724976	-1	-1	-1
106	0	1	60	60	lakes54.jpg	lakes	B	171	256.394728	1	0.931605815887451	-1	-1	-1
106	0	1	61	61	bridges51.jpg	bridges	A	174	260.89469	1	0.523584604263306	-1	-1	-1
106	0	1	62	62	lighthouses37.jpg	lighthouses	A	178	266.894595	1	0.700680732727051	-1	-1	-1
106	0	1	63	63	fields49.jpg	fields	X	181	271.394516	1	0.777747869491577	-1	-1	-1
106	0	1	64	64	waterfalls26.jpg	waterfalls	A	183	274.394486	1	0.866928815841675	-1	-1	-1
106	0	1	65	65	forests51.jpg	forests	X	185	277.394424	1	0.53886604309082	-1	-1	-1
106	0	1	66	66	beaches37.jpg	beaches	B	187	280.39439	1	0.924919843673706	-1	-1	-1
