subid,pairnum,familacc,ets,group
2,1,1.0,0.5733122436167457,Stress
2,2,0.5,0.20785416092202147,Stress
2,3,0.5,0.23355868224316997,Stress
3,1,0.25,-0.2198158217856005,Control
3,2,0.5,-0.01054667265374801,Control
3,3,0.0,-0.227236396647776,Control
4,1,0.0,0.09008041911966137,Stress
4,2,0.0,0.21850392496957322,Stress
4,3,0.25,-0.13161627227593098,Stress
5,1,0.75,0.5182401603242018,Control
5,2,0.75,0.20109754283073306,Control
5,3,0.25,0.19832472148826424,Control
7,1,1.0,0.31970596658712636,Control
7,2,0.75,0.2448013828229444,Control
7,3,0.5,-0.12925522675250145,Control
8,1,0.25,-0.1321645805367432,Control
8,2,0.5,0.7820967053561045,Control
8,3,0.75,0.3739063742061869,Control
10,1,1.0,0.9490038323291896,Stress
10,2,1.0,0.207761229916904,Stress
10,3,0.5,0.19513140867252118,Stress
13,1,0.5,0.31781551058191587,Control
13,2,0.0,0.5534094102361443,Control
13,3,0.25,0.20855357317918868,Control
14,1,1.0,0.2074340910277141,Stress
14,2,1.0,0.3182442092350258,Stress
14,3,0.3333333333333333,-0.07560239990758978,Stress
15,1,0.5,0.25249796801509017,Control
15,2,0.75,0.16612508387461983,Control
15,3,0.6666666666666666,0.03803882235941673,Control
17,1,0.5,0.03264324676569168,Control
17,2,1.0,-0.03794917572276753,Control
17,3,0.75,0.3728855186258608,Control
20,1,0.75,0.06141382646804213,Control
20,2,1.0,-0.012814718700389157,Control
20,3,1.0,0.25420248977044974,Control
21,1,1.0,0.22443065099863263,Stress
21,2,0.25,0.24115172026237752,Stress
21,3,1.0,0.2646923617899959,Stress
23,1,1.0,0.3354515457418093,Stress
23,2,0.5,-0.23869350948121512,Stress
23,3,0.25,0.04365692263743407,Stress
24,1,0.75,0.5788237022168387,Stress
24,2,0.25,0.3588872405679683,Stress
24,3,0.75,-0.03550369837512023,Stress
28,1,0.75,0.5587084485465424,Stress
28,2,0.25,0.4178221018537625,Stress
28,3,0.25,0.27864487601844073,Stress
29,1,0.5,0.24722364994577223,Control
29,2,0.0,0.2066741529849469,Control
