ets,CI_min,CI_max
-0.2710461092269717,0.29473205366100147,0.5789598391049906
-0.25872237244357615,0.3005617519065421,0.578470741800614
-0.24639863566018055,0.3062523573097869,0.5784570070920141
-0.23407489887678498,0.3119957318738186,0.5784485628655909
-0.2217511620933894,0.3181148185139121,0.5784432451211521
-0.20942742530999384,0.32400292629296373,0.5787512681237879
-0.19710368852659826,0.3295202985335626,0.5784810688168358
-0.18477995174320272,0.3354339789308289,0.5782126990883244
-0.17245621495980712,0.3410850449194475,0.577767838577311
-0.16013247817641157,0.34640132268190915,0.5777334547417382
-0.14780874139301597,0.3523672231038614,0.5782071382924312
-0.13548500460962043,0.3579914291959804,0.578649306285978
-0.12316126782622486,0.3641585618023945,0.5787385282300173
-0.11083753104282928,0.36970637832798703,0.5787801145125377
-0.09851379425943371,0.37524576016959627,0.5791448299594282
-0.08619005747603814,0.38096534711735824,0.5797717652380687
-0.07386632069264257,0.38675902297952336,0.5801708931019118
-0.061542583909246995,0.39259679940464526,0.5804028661872357
-0.04921884712585142,0.3983462395340771,0.5810592298481697
-0.03689511034245585,0.4038521886443954,0.5818928058741396
-0.024571373559060278,0.40929674853100717,0.5824434817908984
-0.012247636775664705,0.4146237738967475,0.5830777147672727
7.610000773083936e-05,0.4200523806206222,0.5833757809505306
0.01239983679112644,0.42562360679673245,0.5838283944934867
0.024723573574521984,0.43077271967414715,0.5845165375441295
0.037047310357917584,0.43612683097976335,0.5857243430972336
0.04937104714131313,0.44133064366650604,0.5865556263565902
0.06169478392470873,0.44656497746623397,0.5872067136163925
0.07401852070810427,0.4514874254322545,0.5878629556312852
0.08634225749149987,0.45616902099509365,0.5895690747432212
0.09866599427489542,0.461088719910184,0.5913885070032038
0.11098973105829102,0.46553091172955763,0.5927493197626399
0.12331346784168656,0.4699717122747981,0.5940364766241417
0.1356372046250821,0.47444081195738586,0.5952414938983859
0.1479609414084777,0.47860346730205494,0.5976494206818529
0.16028467819187325,0.4826539578702842,0.5997211668382184
0.17260841497526885,0.48636107232019077,0.6021065322175931
0.1849321517586644,0.49053721946914913,0.6043870329359174
0.19725588854206,0.49371995478610575,0.6066968918080748
0.20957962532545554,0.49687336802205295,0.60914036341005
0.22190336210885114,0.5000791106713672,0.6122054692874546
0.2342270988922467,0.5031261113468801,0.6151736423011906
0.2465508356756423,0.5060133572216642,0.6183115265733132
0.2588745724590379,0.5088026664044171,0.6214570943364325
0.2711983092424334,0.5114217312686816,0.6248258281249697
0.283522046025829,0.5137055264850492,0.6281156843172948
0.2958457828092246,0.515813922596881,0.6315869409336601
0.3081695195926202,0.5179425591944423,0.6356456895588359
0.32049325637601567,0.5196333892138512,0.6395687208113147
0.33281699315941127,0.5212521786909514,0.6436990056458394
0.34514072994280687,0.5231192076588923,0.6480459392588361
0.35746446672620236,0.5248060716708287,0.6524886323303021
0.36978820350959796,0.5259221343564622,0.6573371941728556
0.38211194029299356,0.5270115272753634,0.661820936963215
0.39443567707638916,0.527936600359848,0.6665473239702762
0.40675941385978465,0.5289091071827822,0.671383687907683
0.41908315064318025,0.5298093618807865,0.67665742014563
0.43140688742657585,0.530848543651275,0.6818791983832017
0.44373062420997145,0.5317188290410252,0.6867158608683247
0.45605436099336694,0.5325739366416637,0.6917749801312705
0.46837809777676254,0.5330450446493233,0.6973884922670599
0.48070183456015814,0.5336208529399967,0.7030348961436081
0.49302557134355374,0.5341582027161795,0.7084814621928206
0.5053493081269492,0.5348672335532666,0.7137591031229371
0.5176730449103448,0.5349730503061495,0.7190219094558113
0.5299967816937404,0.5355690062260032,0.7244504819463983
0.5423205184771359,0.5357041329482887,0.7298087167028251
0.5546442552605315,0.5362812048514816,0.7353025811347503
0.5669679920439271,0.5364135133638367,0.7407286402794874
0.5792917288273227,0.5366808533963329,0.7464952827670819
0.5916154656107182,0.5370741766056032,0.7519270344044454
0.6039392023941138,0.5372234998378466,0.7578738367113631
0.6162629391775094,0.5374070728215377,0.7633002305502461
0.628586675960905,0.5374922915180493,0.769165804276189
0.6409104127443005,0.5375468788327625,0.7747802993381198
0.6532341495276961,0.5376290632677573,0.780445155237189
0.6655578863110917,0.5374543324968027,0.7864002795863569
0.6778816230944873,0.5380731726597215,0.7924777757743995
0.6902053598778828,0.5381779559153679,0.7981708692406285
0.7025290966612784,0.5384403834439384,0.8038821267484006
0.714852833444674,0.5384460351374865,0.8101084817112202
0.7271765702280695,0.5379301391892721,0.815936977152082
0.7395003070114651,0.5379365613908611,0.8219441599733951
0.7518240437948606,0.5382601225712028,0.8280009950260073
0.7641477805782563,0.5381847504923595,0.8337364465819989
0.7764715173616518,0.5380627112862434,0.8396831528423554
0.7887952541450475,0.5383889851152123,0.8458302843443041
0.801118990928443,0.5382644452714567,0.8518645448300064
0.8134427277118385,0.5380107674034911,0.8582581144198751
0.8257664644952342,0.5376846972607732,0.8641148897268014
0.8380902012786297,0.5371530406938937,0.8701635328373364
0.8504139380620251,0.5369345508194895,0.8761933456858144
0.8627376748454209,0.536901380310012,0.8822772713658671
0.8750614116288163,0.5368576544420449,0.8883071901422255
0.887385148412212,0.5364892235999648,0.8945524046409076
0.8997088851956075,0.5368410115198823,0.9007705365606486
0.912032621979003,0.5366256439930749,0.9065414389196458
0.9243563587623987,0.5364713958585544,0.9121928963756546
0.9366800955457942,0.5364862858571373,0.918283645171722
0.9490038323291896,0.5366850754985545,0.9243938964607095
