subid,group,run,TR,trialtype,recog,repetition
5,Control,scene3,8,X2,forgotten,1
5,Control,scene3,11,X4,forgotten,1
5,Control,scene3,14,A1,forgotten,1
5,Control,scene3,17,B1,forgotten,1
5,Control,scene3,19,X5,forgotten,1
5,Control,scene3,21,X2,remembered,2
5,Control,scene3,23,X6,forgotten,1
5,Control,scene3,26,X2,forgotten,3
5,Control,scene3,30,A3,forgotten,1
5,Control,scene3,33,B3,forgotten,1
5,Control,scene3,36,A2,remembered,1
5,Control,scene3,38,B2,remembered,1
5,Control,scene3,40,X4,remembered,2
5,Control,scene3,44,X1,forgotten,1
5,Control,scene3,47,X4,remembered,3
5,Control,scene3,49,A2,forgotten,2
5,Control,scene3,53,B2,forgotten,2
5,Control,scene3,55,A3,remembered,2
5,Control,scene3,58,B3,forgotten,2
5,Control,scene3,61,X2,forgotten,4
5,Control,scene3,64,X1,forgotten,2
5,Control,scene3,67,X5,remembered,2
5,Control,scene3,70,A2,remembered,3
5,Control,scene3,73,B2,forgotten,3
5,Control,scene3,76,X6,remembered,2
5,Control,scene3,78,X3,remembered,1
5,Control,scene3,83,A1,forgotten,2
5,Control,scene3,87,B1,forgotten,2
5,Control,scene3,91,A3,forgotten,3
5,Control,scene3,95,B3,remembered,3
5,Control,scene3,97,X3,remembered,2
5,Control,scene3,99,X6,remembered,3
5,Control,scene3,103,A2,remembered,4
5,Control,scene3,105,B2,forgotten,4
5,Control,scene3,108,A3,forgotten,4
5,Control,scene3,111,B3,remembered,4
5,Control,scene3,113,X5,remembered,3
5,Control,scene3,115,A1,forgotten,3
5,Control,scene3,119,B1,remembered,3
5,Control,scene3,121,X2,remembered,6
5,Control,scene3,123,A3,forgotten,5
5,Control,scene3,125,B3,forgotten,5
5,Control,scene3,127,X4,remembered,4
5,Control,scene3,130,X1,remembered,3
5,Control,scene3,134,X3,remembered,3
5,Control,scene3,137,X4,remembered,5
5,Control,scene3,141,A1,remembered,4
5,Control,scene3,144,B1,forgotten,4
5,Control,scene3,146,X1,forgotten,4
5,Control,scene3,150,A2,remembered,5
5,Control,scene3,152,B2,forgotten,5
5,Control,scene3,156,A1,remembered,5
5,Control,scene3,159,B1,forgotten,5
5,Control,scene3,162,A3,forgotten,6
5,Control,scene3,165,B3,forgotten,6
5,Control,scene3,168,A1,forgotten,6
5,Control,scene3,170,B1,remembered,6
5,Control,scene3,172,X2,remembered,7
5,Control,scene3,176,X3,forgotten,4
5,Control,scene3,180,X6,forgotten,4
5,Control,scene3,182,X3,remembered,5
5,Control,scene3,185,X5,remembered,4
5,Control,scene3,187,X6,remembered,5
5,Control,scene3,191,A1,forgotten,7
5,Control,scene3,193,B1,remembered,7
5,Control,scene3,196,X1,remembered,5
5,Control,scene3,198,X6,forgotten,6
5,Control,scene3,201,X5,forgotten,5
5,Control,scene3,203,A2,remembered,6
5,Control,scene3,205,B2,forgotten,6
5,Control,scene3,207,A3,forgotten,7
5,Control,scene3,209,B3,forgotten,7
5,Control,scene3,213,X1,remembered,6
5,Control,scene3,216,X3,remembered,6
5,Control,scene3,218,X5,remembered,6
5,Control,scene3,220,X4,remembered,6
5,Control,scene3,223,A2,forgotten,7
5,Control,scene3,225,B2,forgotten,7
5,Control,scene3,228,X4,remembered,7
5,Control,scene3,232,X6,remembered,7
5,Control,scene3,235,X3,remembered,7
5,Control,scene3,239,X1,forgotten,7
5,Control,scene3,242,X5,forgotten,7
