subid,group,run,TR,trialtype,recog,repetition
45,Control,scene3,8,A2,forgotten,1
45,Control,scene3,10,B2,remembered,1
45,Control,scene3,13,A1,remembered,1
45,Control,scene3,16,B1,remembered,1
45,Control,scene3,18,X5,remembered,1
45,Control,scene3,21,A2,remembered,2
45,Control,scene3,24,B2,remembered,2
45,Control,scene3,27,X5,remembered,2
45,Control,scene3,31,X1,remembered,1
45,Control,scene3,34,A2,remembered,3
45,Control,scene3,37,B2,forgotten,3
45,Control,scene3,39,X1,remembered,2
45,Control,scene3,41,X3,forgotten,1
45,Control,scene3,44,X4,remembered,1
45,Control,scene3,46,X3,forgotten,2
45,Control,scene3,49,A2,remembered,4
45,Control,scene3,52,B2,remembered,4
45,Control,scene3,55,X1,forgotten,3
45,Control,scene3,57,X6,forgotten,1
45,Control,scene3,61,X3,remembered,3
45,Control,scene3,64,A1,forgotten,2
45,Control,scene3,68,B1,remembered,2
45,Control,scene3,70,A3,remembered,1
45,Control,scene3,72,B3,remembered,1
45,Control,scene3,75,X2,remembered,1
45,Control,scene3,78,A2,remembered,5
45,Control,scene3,82,B2,remembered,5
45,Control,scene3,84,X1,remembered,4
45,Control,scene3,87,X2,remembered,2
45,Control,scene3,91,X5,forgotten,3
45,Control,scene3,93,X4,forgotten,2
45,Control,scene3,96,A2,forgotten,6
45,Control,scene3,100,B2,remembered,6
45,Control,scene3,102,X4,forgotten,3
45,Control,scene3,105,X6,remembered,2
45,Control,scene3,109,X4,remembered,4
45,Control,scene3,112,A3,remembered,2
45,Control,scene3,114,B3,remembered,2
45,Control,scene3,118,A1,forgotten,3
45,Control,scene3,121,B1,remembered,3
45,Control,scene3,123,X4,forgotten,5
45,Control,scene3,126,X6,forgotten,3
45,Control,scene3,128,X3,forgotten,4
45,Control,scene3,131,X5,remembered,4
45,Control,scene3,134,A1,remembered,4
45,Control,scene3,138,B1,remembered,4
45,Control,scene3,142,A3,remembered,3
45,Control,scene3,146,B3,remembered,3
45,Control,scene3,148,X1,remembered,5
45,Control,scene3,150,A3,remembered,4
45,Control,scene3,152,B3,remembered,4
45,Control,scene3,155,X3,remembered,5
45,Control,scene3,158,X2,forgotten,3
45,Control,scene3,161,X1,remembered,6
45,Control,scene3,164,A2,remembered,7
45,Control,scene3,166,B2,remembered,7
45,Control,scene3,168,X2,remembered,4
45,Control,scene3,170,X3,remembered,6
45,Control,scene3,173,X6,forgotten,4
45,Control,scene3,175,A3,remembered,5
45,Control,scene3,177,B3,remembered,5
45,Control,scene3,179,X4,remembered,6
45,Control,scene3,182,A1,remembered,5
45,Control,scene3,184,B1,remembered,5
45,Control,scene3,188,X6,remembered,5
45,Control,scene3,192,X5,remembered,5
45,Control,scene3,195,X4,remembered,7
45,Control,scene3,199,X1,forgotten,7
45,Control,scene3,202,X6,forgotten,6
45,Control,scene3,206,X5,forgotten,6
45,Control,scene3,210,X2,forgotten,5
45,Control,scene3,212,X6,remembered,7
45,Control,scene3,216,X2,remembered,6
45,Control,scene3,220,X5,remembered,7
45,Control,scene3,222,X3,remembered,7
45,Control,scene3,224,A3,forgotten,6
45,Control,scene3,227,B3,forgotten,6
45,Control,scene3,230,A1,remembered,6
45,Control,scene3,233,B1,forgotten,6
45,Control,scene3,235,A3,remembered,7
45,Control,scene3,237,B3,remembered,7
45,Control,scene3,239,X2,remembered,7
45,Control,scene3,241,A1,remembered,7
45,Control,scene3,243,B1,remembered,7
