subid,group,run,TR,trialtype,recog,repetition
47,Stress,scene3,8,A1,forgotten,1
47,Stress,scene3,12,B1,remembered,1
47,Stress,scene3,14,A2,remembered,1
47,Stress,scene3,18,B2,forgotten,1
47,Stress,scene3,20,X5,forgotten,1
47,Stress,scene3,24,X1,forgotten,1
47,Stress,scene3,28,X6,forgotten,1
47,Stress,scene3,31,X3,forgotten,1
47,Stress,scene3,34,X4,remembered,1
47,Stress,scene3,36,X1,remembered,2
47,Stress,scene3,38,X2,forgotten,1
47,Stress,scene3,41,X3,forgotten,2
47,Stress,scene3,44,X5,forgotten,2
47,Stress,scene3,47,X4,remembered,2
47,Stress,scene3,50,X3,remembered,3
47,Stress,scene3,52,A1,remembered,2
47,Stress,scene3,56,B1,forgotten,2
47,Stress,scene3,60,X5,remembered,3
47,Stress,scene3,62,X2,forgotten,2
47,Stress,scene3,66,A2,remembered,2
47,Stress,scene3,68,B2,remembered,2
47,Stress,scene3,70,A3,forgotten,1
47,Stress,scene3,72,B3,remembered,1
47,Stress,scene3,75,A1,remembered,3
47,Stress,scene3,78,B1,remembered,3
47,Stress,scene3,80,A3,forgotten,2
47,Stress,scene3,83,B3,remembered,2
47,Stress,scene3,87,X1,remembered,3
47,Stress,scene3,89,A3,forgotten,3
47,Stress,scene3,93,B3,forgotten,3
47,Stress,scene3,97,A1,remembered,4
47,Stress,scene3,99,B1,forgotten,4
47,Stress,scene3,102,X6,forgotten,2
47,Stress,scene3,105,X3,remembered,4
47,Stress,scene3,109,A3,forgotten,4
47,Stress,scene3,112,B3,remembered,4
47,Stress,scene3,115,X2,remembered,3
47,Stress,scene3,117,X1,remembered,4
47,Stress,scene3,120,A2,remembered,3
47,Stress,scene3,124,B2,remembered,3
47,Stress,scene3,127,X6,forgotten,3
47,Stress,scene3,129,X4,forgotten,3
47,Stress,scene3,131,X1,remembered,5
47,Stress,scene3,133,X2,remembered,4
47,Stress,scene3,135,X4,forgotten,4
47,Stress,scene3,137,A3,forgotten,5
47,Stress,scene3,140,B3,forgotten,5
47,Stress,scene3,143,X5,forgotten,4
47,Stress,scene3,145,X4,forgotten,5
47,Stress,scene3,148,X2,remembered,5
47,Stress,scene3,150,A1,forgotten,5
47,Stress,scene3,153,B1,remembered,5
47,Stress,scene3,156,X2,remembered,6
47,Stress,scene3,160,X4,forgotten,6
47,Stress,scene3,162,X6,remembered,4
47,Stress,scene3,164,X1,forgotten,6
47,Stress,scene3,166,X6,forgotten,5
47,Stress,scene3,169,X5,forgotten,5
47,Stress,scene3,171,X3,forgotten,5
47,Stress,scene3,174,X1,remembered,7
47,Stress,scene3,176,X6,forgotten,6
47,Stress,scene3,179,X3,remembered,6
47,Stress,scene3,182,A3,forgotten,6
47,Stress,scene3,186,B3,forgotten,6
47,Stress,scene3,189,A1,forgotten,6
47,Stress,scene3,192,B1,forgotten,6
47,Stress,scene3,195,A2,forgotten,4
47,Stress,scene3,197,B2,forgotten,4
47,Stress,scene3,199,X6,forgotten,7
47,Stress,scene3,203,X2,remembered,7
47,Stress,scene3,206,A2,forgotten,5
47,Stress,scene3,209,B2,remembered,5
47,Stress,scene3,211,X3,remembered,7
47,Stress,scene3,214,X5,forgotten,6
47,Stress,scene3,216,A3,forgotten,7
47,Stress,scene3,218,B3,forgotten,7
47,Stress,scene3,220,A2,forgotten,6
47,Stress,scene3,222,B2,remembered,6
47,Stress,scene3,225,A1,forgotten,7
47,Stress,scene3,229,B1,forgotten,7
47,Stress,scene3,233,A2,forgotten,7
47,Stress,scene3,237,B2,forgotten,7
47,Stress,scene3,239,X5,forgotten,7
47,Stress,scene3,242,X4,forgotten,7
