subid,group,run,TR,trialtype,recog,repetition
56,Control,scene3,8,X1,forgotten,1
56,Control,scene3,11,X4,remembered,1
56,Control,scene3,14,A3,remembered,1
56,Control,scene3,18,B3,forgotten,1
56,Control,scene3,21,X6,forgotten,1
56,Control,scene3,25,A2,forgotten,1
56,Control,scene3,27,B2,forgotten,1
56,Control,scene3,29,X4,forgotten,2
56,Control,scene3,32,X1,forgotten,2
56,Control,scene3,35,X3,forgotten,1
56,Control,scene3,39,X1,remembered,3
56,Control,scene3,43,A3,remembered,2
56,Control,scene3,45,B3,forgotten,2
56,Control,scene3,49,A1,remembered,1
56,Control,scene3,52,B1,forgotten,1
56,Control,scene3,54,X5,forgotten,1
56,Control,scene3,57,X6,forgotten,2
56,Control,scene3,59,X1,forgotten,4
56,Control,scene3,62,X2,remembered,1
56,Control,scene3,64,X3,forgotten,2
56,Control,scene3,66,X5,forgotten,2
56,Control,scene3,69,X3,forgotten,3
56,Control,scene3,72,X6,forgotten,3
56,Control,scene3,75,A1,forgotten,2
56,Control,scene3,78,B1,forgotten,2
56,Control,scene3,80,X2,forgotten,2
56,Control,scene3,84,A2,forgotten,2
56,Control,scene3,87,B2,remembered,2
56,Control,scene3,89,A3,forgotten,3
56,Control,scene3,92,B3,remembered,3
56,Control,scene3,94,X2,remembered,3
56,Control,scene3,96,A1,remembered,3
56,Control,scene3,99,B1,forgotten,3
56,Control,scene3,101,X3,forgotten,4
56,Control,scene3,103,X2,forgotten,4
56,Control,scene3,105,X1,forgotten,5
56,Control,scene3,109,X5,forgotten,3
56,Control,scene3,112,X3,remembered,5
56,Control,scene3,114,X1,remembered,6
56,Control,scene3,118,A2,forgotten,3
56,Control,scene3,122,B2,forgotten,3
56,Control,scene3,124,A3,forgotten,4
56,Control,scene3,126,B3,forgotten,4
56,Control,scene3,128,X6,forgotten,4
56,Control,scene3,132,X4,forgotten,3
56,Control,scene3,135,X2,remembered,5
56,Control,scene3,138,A3,forgotten,5
56,Control,scene3,141,B3,forgotten,5
56,Control,scene3,143,A1,remembered,4
56,Control,scene3,145,B1,forgotten,4
56,Control,scene3,149,X6,forgotten,5
56,Control,scene3,152,X4,forgotten,4
56,Control,scene3,155,X5,forgotten,4
56,Control,scene3,157,A1,remembered,5
56,Control,scene3,160,B1,remembered,5
56,Control,scene3,163,X4,forgotten,5
56,Control,scene3,167,A3,forgotten,6
56,Control,scene3,169,B3,forgotten,6
56,Control,scene3,173,A2,forgotten,4
56,Control,scene3,176,B2,remembered,4
56,Control,scene3,179,A3,forgotten,7
56,Control,scene3,181,B3,forgotten,7
56,Control,scene3,184,A1,forgotten,6
56,Control,scene3,187,B1,forgotten,6
56,Control,scene3,189,X3,forgotten,6
56,Control,scene3,191,X1,remembered,7
56,Control,scene3,194,A1,forgotten,7
56,Control,scene3,197,B1,forgotten,7
56,Control,scene3,199,X2,forgotten,6
56,Control,scene3,202,A2,forgotten,5
56,Control,scene3,206,B2,forgotten,5
56,Control,scene3,210,X3,forgotten,7
56,Control,scene3,212,X6,forgotten,6
56,Control,scene3,214,X5,forgotten,5
56,Control,scene3,217,X4,remembered,6
56,Control,scene3,221,A2,forgotten,6
56,Control,scene3,223,B2,forgotten,6
56,Control,scene3,225,X5,forgotten,6
56,Control,scene3,229,X4,forgotten,7
56,Control,scene3,231,X2,forgotten,7
56,Control,scene3,234,A2,remembered,7
56,Control,scene3,236,B2,forgotten,7
56,Control,scene3,238,X6,forgotten,7
56,Control,scene3,241,X5,forgotten,7
