subid,group,run,TR,trialtype,recog,repetition
7,Control,scene4,8,A3,remembered,1
7,Control,scene4,12,B3,remembered,1
7,Control,scene4,15,A1,remembered,1
7,Control,scene4,18,B1,forgotten,1
7,Control,scene4,21,X2,remembered,1
7,Control,scene4,24,X5,remembered,1
7,Control,scene4,26,A2,remembered,1
7,Control,scene4,30,B2,remembered,1
7,Control,scene4,34,X3,remembered,1
7,Control,scene4,36,X2,forgotten,2
7,Control,scene4,39,A1,remembered,2
7,Control,scene4,42,B1,remembered,2
7,Control,scene4,45,X3,remembered,2
7,Control,scene4,47,X2,remembered,3
7,Control,scene4,50,A3,remembered,2
7,Control,scene4,53,B3,remembered,2
7,Control,scene4,57,X6,remembered,1
7,Control,scene4,59,X2,remembered,4
7,Control,scene4,61,X5,remembered,2
7,Control,scene4,63,X6,remembered,2
7,Control,scene4,65,X5,remembered,3
7,Control,scene4,68,A3,remembered,3
7,Control,scene4,70,B3,forgotten,3
7,Control,scene4,74,X3,remembered,3
7,Control,scene4,77,X6,forgotten,3
7,Control,scene4,79,X5,forgotten,4
7,Control,scene4,83,X4,remembered,1
7,Control,scene4,87,A2,remembered,2
7,Control,scene4,90,B2,forgotten,2
7,Control,scene4,93,X5,remembered,5
7,Control,scene4,95,A2,remembered,3
7,Control,scene4,99,B2,remembered,3
7,Control,scene4,101,X6,forgotten,4
7,Control,scene4,104,X4,remembered,2
7,Control,scene4,108,X1,forgotten,1
7,Control,scene4,110,X2,remembered,5
7,Control,scene4,114,X1,remembered,2
7,Control,scene4,118,A3,remembered,4
7,Control,scene4,120,B3,forgotten,4
7,Control,scene4,122,X2,remembered,6
7,Control,scene4,125,A1,forgotten,3
7,Control,scene4,127,B1,forgotten,3
7,Control,scene4,131,X5,remembered,6
7,Control,scene4,133,X1,remembered,3
7,Control,scene4,135,X4,forgotten,3
7,Control,scene4,138,X2,remembered,7
7,Control,scene4,141,X3,forgotten,4
7,Control,scene4,144,X1,remembered,4
7,Control,scene4,147,A1,remembered,4
7,Control,scene4,149,B1,forgotten,4
7,Control,scene4,151,X6,remembered,5
7,Control,scene4,154,A3,remembered,5
7,Control,scene4,158,B3,remembered,5
7,Control,scene4,161,X4,remembered,4
7,Control,scene4,163,X3,remembered,5
7,Control,scene4,166,A3,remembered,6
7,Control,scene4,170,B3,forgotten,6
7,Control,scene4,172,A1,remembered,5
7,Control,scene4,174,B1,forgotten,5
7,Control,scene4,176,A2,remembered,4
7,Control,scene4,179,B2,forgotten,4
7,Control,scene4,181,A3,forgotten,7
7,Control,scene4,183,B3,remembered,7
7,Control,scene4,185,A1,remembered,6
7,Control,scene4,188,B1,remembered,6
7,Control,scene4,191,X4,remembered,5
7,Control,scene4,194,X6,remembered,6
7,Control,scene4,198,X3,remembered,6
7,Control,scene4,201,X5,remembered,7
7,Control,scene4,204,X3,remembered,7
7,Control,scene4,206,A2,remembered,5
7,Control,scene4,210,B2,remembered,5
7,Control,scene4,214,X1,forgotten,5
7,Control,scene4,216,A2,forgotten,6
7,Control,scene4,219,B2,remembered,6
7,Control,scene4,221,X4,remembered,6
7,Control,scene4,224,X1,remembered,6
7,Control,scene4,227,A2,remembered,7
7,Control,scene4,231,B2,remembered,7
7,Control,scene4,233,X6,forgotten,7
7,Control,scene4,235,X1,forgotten,7
7,Control,scene4,238,A1,forgotten,7
7,Control,scene4,241,B1,remembered,7
7,Control,scene4,243,X4,remembered,7
