subid,group,run,TR,trialtype,recog,repetition
23,Stress,scene2,8,X4,forgotten,1
23,Stress,scene2,12,X6,remembered,1
23,Stress,scene2,14,A2,forgotten,1
23,Stress,scene2,17,B2,remembered,1
23,Stress,scene2,20,X1,remembered,1
23,Stress,scene2,22,X2,remembered,1
23,Stress,scene2,25,A3,forgotten,1
23,Stress,scene2,29,B3,remembered,1
23,Stress,scene2,31,X2,forgotten,2
23,Stress,scene2,33,X5,remembered,1
23,Stress,scene2,35,X1,remembered,2
23,Stress,scene2,37,A2,forgotten,2
23,Stress,scene2,39,B2,forgotten,2
23,Stress,scene2,42,A1,remembered,1
23,Stress,scene2,45,B1,forgotten,1
23,Stress,scene2,48,X2,remembered,3
23,Stress,scene2,51,A2,remembered,3
23,Stress,scene2,53,B2,remembered,3
23,Stress,scene2,57,X5,remembered,2
23,Stress,scene2,61,A1,remembered,2
23,Stress,scene2,65,B1,forgotten,2
23,Stress,scene2,67,X3,remembered,1
23,Stress,scene2,70,X5,forgotten,3
23,Stress,scene2,72,X3,remembered,2
23,Stress,scene2,75,X1,forgotten,3
23,Stress,scene2,77,A2,forgotten,4
23,Stress,scene2,79,B2,remembered,4
23,Stress,scene2,82,X3,remembered,3
23,Stress,scene2,86,X6,remembered,2
23,Stress,scene2,89,X2,remembered,4
23,Stress,scene2,91,X4,remembered,2
23,Stress,scene2,95,A1,remembered,3
23,Stress,scene2,98,B1,remembered,3
23,Stress,scene2,100,X3,forgotten,4
23,Stress,scene2,102,X6,remembered,3
23,Stress,scene2,104,A3,forgotten,2
23,Stress,scene2,108,B3,remembered,2
23,Stress,scene2,110,X4,remembered,3
23,Stress,scene2,113,X3,remembered,5
23,Stress,scene2,117,A1,remembered,4
23,Stress,scene2,120,B1,forgotten,4
23,Stress,scene2,122,X6,remembered,4
23,Stress,scene2,124,X3,forgotten,6
23,Stress,scene2,127,A2,remembered,5
23,Stress,scene2,129,B2,remembered,5
23,Stress,scene2,132,X2,forgotten,5
23,Stress,scene2,135,A3,forgotten,3
23,Stress,scene2,138,B3,remembered,3
23,Stress,scene2,140,X5,forgotten,4
23,Stress,scene2,142,X4,remembered,4
23,Stress,scene2,144,A3,remembered,4
23,Stress,scene2,148,B3,forgotten,4
23,Stress,scene2,151,X4,forgotten,5
23,Stress,scene2,154,X1,forgotten,4
23,Stress,scene2,156,X4,forgotten,6
23,Stress,scene2,159,X5,remembered,5
23,Stress,scene2,161,X1,forgotten,5
23,Stress,scene2,164,X6,remembered,5
23,Stress,scene2,168,X5,remembered,6
23,Stress,scene2,172,A1,forgotten,5
23,Stress,scene2,175,B1,remembered,5
23,Stress,scene2,178,A3,remembered,5
23,Stress,scene2,180,B3,remembered,5
23,Stress,scene2,183,X2,remembered,6
23,Stress,scene2,185,X1,forgotten,6
23,Stress,scene2,188,A3,remembered,6
23,Stress,scene2,190,B3,forgotten,6
23,Stress,scene2,194,X5,forgotten,7
23,Stress,scene2,198,A1,forgotten,6
23,Stress,scene2,201,B1,remembered,6
23,Stress,scene2,205,X3,remembered,7
23,Stress,scene2,208,A2,forgotten,6
23,Stress,scene2,210,B2,forgotten,6
23,Stress,scene2,214,A1,forgotten,7
23,Stress,scene2,216,B1,remembered,7
23,Stress,scene2,219,X2,remembered,7
23,Stress,scene2,221,X1,remembered,7
23,Stress,scene2,225,X4,forgotten,7
23,Stress,scene2,227,A3,forgotten,7
23,Stress,scene2,229,B3,remembered,7
23,Stress,scene2,232,X6,remembered,6
23,Stress,scene2,235,A2,forgotten,7
23,Stress,scene2,238,B2,remembered,7
23,Stress,scene2,241,X6,remembered,7
