subid,group,run,TR,trialtype,recog,repetition
48,Control,scene4,8,A3,remembered,1
48,Control,scene4,11,B3,remembered,1
48,Control,scene4,15,A2,remembered,1
48,Control,scene4,17,B2,forgotten,1
48,Control,scene4,19,X4,forgotten,1
48,Control,scene4,22,X5,forgotten,1
48,Control,scene4,24,A1,forgotten,1
48,Control,scene4,26,B1,remembered,1
48,Control,scene4,29,X3,remembered,1
48,Control,scene4,32,X1,forgotten,1
48,Control,scene4,34,X2,forgotten,1
48,Control,scene4,38,A1,forgotten,2
48,Control,scene4,41,B1,remembered,2
48,Control,scene4,43,X4,forgotten,2
48,Control,scene4,45,A2,remembered,2
48,Control,scene4,49,B2,remembered,2
48,Control,scene4,52,X5,forgotten,2
48,Control,scene4,55,X2,forgotten,2
48,Control,scene4,58,X1,remembered,2
48,Control,scene4,62,X2,forgotten,3
48,Control,scene4,64,A3,forgotten,2
48,Control,scene4,66,B3,forgotten,2
48,Control,scene4,68,X2,forgotten,4
48,Control,scene4,71,X1,forgotten,3
48,Control,scene4,73,X6,forgotten,1
48,Control,scene4,77,X3,forgotten,2
48,Control,scene4,79,X5,remembered,3
48,Control,scene4,83,A3,remembered,3
48,Control,scene4,87,B3,forgotten,3
48,Control,scene4,91,A2,forgotten,3
48,Control,scene4,94,B2,forgotten,3
48,Control,scene4,96,X2,forgotten,5
48,Control,scene4,99,X4,forgotten,3
48,Control,scene4,102,X5,remembered,4
48,Control,scene4,104,A2,forgotten,4
48,Control,scene4,106,B2,forgotten,4
48,Control,scene4,109,X1,forgotten,4
48,Control,scene4,113,X3,remembered,3
48,Control,scene4,115,A2,forgotten,5
48,Control,scene4,119,B2,forgotten,5
48,Control,scene4,122,X6,forgotten,2
48,Control,scene4,125,X4,forgotten,4
48,Control,scene4,128,X1,forgotten,5
48,Control,scene4,132,A1,forgotten,3
48,Control,scene4,135,B1,forgotten,3
48,Control,scene4,138,A2,remembered,6
48,Control,scene4,142,B2,remembered,6
48,Control,scene4,146,X2,forgotten,6
48,Control,scene4,148,X4,forgotten,5
48,Control,scene4,150,A1,forgotten,4
48,Control,scene4,152,B1,forgotten,4
48,Control,scene4,156,X3,forgotten,4
48,Control,scene4,159,X5,forgotten,5
48,Control,scene4,162,A1,forgotten,5
48,Control,scene4,164,B1,forgotten,5
48,Control,scene4,167,X3,remembered,5
48,Control,scene4,170,X1,forgotten,6
48,Control,scene4,172,A3,forgotten,4
48,Control,scene4,174,B3,remembered,4
48,Control,scene4,176,X3,forgotten,6
48,Control,scene4,179,X6,forgotten,3
48,Control,scene4,181,X3,forgotten,7
48,Control,scene4,183,A1,forgotten,6
48,Control,scene4,186,B1,remembered,6
48,Control,scene4,189,A2,forgotten,7
48,Control,scene4,192,B2,forgotten,7
48,Control,scene4,194,X6,forgotten,4
48,Control,scene4,198,X4,forgotten,6
48,Control,scene4,201,X2,remembered,7
48,Control,scene4,203,X5,forgotten,6
48,Control,scene4,206,X6,forgotten,5
48,Control,scene4,210,A3,forgotten,5
48,Control,scene4,212,B3,remembered,5
48,Control,scene4,215,X6,forgotten,6
48,Control,scene4,218,X4,forgotten,7
48,Control,scene4,220,X6,forgotten,7
48,Control,scene4,222,A3,remembered,6
48,Control,scene4,226,B3,forgotten,6
48,Control,scene4,229,X5,forgotten,7
48,Control,scene4,231,X1,forgotten,7
48,Control,scene4,233,A3,forgotten,7
48,Control,scene4,236,B3,remembered,7
48,Control,scene4,238,A1,forgotten,7
48,Control,scene4,241,B1,forgotten,7
