subid,group,run,TR,trialtype,recog,repetition
84,Stress,scene2,8,X5,remembered,1
84,Stress,scene2,11,A1,forgotten,1
84,Stress,scene2,13,B1,remembered,1
84,Stress,scene2,16,X1,forgotten,1
84,Stress,scene2,18,X3,forgotten,1
84,Stress,scene2,21,X4,remembered,1
84,Stress,scene2,24,X3,forgotten,2
84,Stress,scene2,26,A2,forgotten,1
84,Stress,scene2,30,B2,remembered,1
84,Stress,scene2,32,A3,forgotten,1
84,Stress,scene2,34,B3,remembered,1
84,Stress,scene2,37,X1,remembered,2
84,Stress,scene2,39,X3,forgotten,3
84,Stress,scene2,43,A1,remembered,2
84,Stress,scene2,45,B1,remembered,2
84,Stress,scene2,49,X4,forgotten,2
84,Stress,scene2,51,A1,remembered,3
84,Stress,scene2,54,B1,remembered,3
84,Stress,scene2,56,X3,forgotten,4
84,Stress,scene2,58,A1,remembered,4
84,Stress,scene2,61,B1,forgotten,4
84,Stress,scene2,64,X4,remembered,3
84,Stress,scene2,67,A3,remembered,2
84,Stress,scene2,70,B3,remembered,2
84,Stress,scene2,74,X6,forgotten,1
84,Stress,scene2,76,A2,remembered,2
84,Stress,scene2,80,B2,remembered,2
84,Stress,scene2,84,X2,forgotten,1
84,Stress,scene2,86,X1,forgotten,3
84,Stress,scene2,90,X5,remembered,2
84,Stress,scene2,93,X1,remembered,4
84,Stress,scene2,95,X6,remembered,2
84,Stress,scene2,98,X5,remembered,3
84,Stress,scene2,100,X3,forgotten,5
84,Stress,scene2,102,X4,remembered,4
84,Stress,scene2,106,A3,forgotten,3
84,Stress,scene2,108,B3,remembered,3
84,Stress,scene2,111,A2,forgotten,3
84,Stress,scene2,115,B2,forgotten,3
84,Stress,scene2,118,A1,forgotten,5
84,Stress,scene2,121,B1,remembered,5
84,Stress,scene2,124,X4,remembered,5
84,Stress,scene2,128,X2,remembered,2
84,Stress,scene2,130,A1,remembered,6
84,Stress,scene2,132,B1,remembered,6
84,Stress,scene2,135,X3,forgotten,6
84,Stress,scene2,138,A3,forgotten,4
84,Stress,scene2,141,B3,remembered,4
84,Stress,scene2,143,A2,remembered,4
84,Stress,scene2,145,B2,remembered,4
84,Stress,scene2,148,X1,remembered,5
84,Stress,scene2,151,X6,remembered,3
84,Stress,scene2,155,A3,forgotten,5
84,Stress,scene2,157,B3,forgotten,5
84,Stress,scene2,159,X4,forgotten,6
84,Stress,scene2,161,X2,remembered,3
84,Stress,scene2,163,X1,remembered,6
84,Stress,scene2,166,X2,forgotten,4
84,Stress,scene2,170,X6,remembered,4
84,Stress,scene2,173,X4,remembered,7
84,Stress,scene2,175,A3,remembered,6
84,Stress,scene2,178,B3,remembered,6
84,Stress,scene2,181,X5,remembered,4
84,Stress,scene2,183,X6,remembered,5
84,Stress,scene2,185,A2,forgotten,5
84,Stress,scene2,187,B2,remembered,5
84,Stress,scene2,190,X1,remembered,7
84,Stress,scene2,194,X2,forgotten,5
84,Stress,scene2,198,X5,forgotten,5
84,Stress,scene2,200,X6,forgotten,6
84,Stress,scene2,202,A2,forgotten,6
84,Stress,scene2,205,B2,remembered,6
84,Stress,scene2,209,X5,forgotten,6
84,Stress,scene2,211,X6,remembered,7
84,Stress,scene2,213,X2,remembered,6
84,Stress,scene2,216,A2,remembered,7
84,Stress,scene2,220,B2,remembered,7
84,Stress,scene2,224,X2,remembered,7
84,Stress,scene2,226,A1,remembered,7
84,Stress,scene2,229,B1,remembered,7
84,Stress,scene2,233,X3,forgotten,7
84,Stress,scene2,236,A3,remembered,7
84,Stress,scene2,239,B3,forgotten,7
84,Stress,scene2,242,X5,remembered,7
