subid,group,run,TR,trialtype,recog,repetition
20,Control,scene2,8,X5,forgotten,1
20,Control,scene2,11,A1,remembered,1
20,Control,scene2,15,B1,remembered,1
20,Control,scene2,17,X2,forgotten,1
20,Control,scene2,19,A3,forgotten,1
20,Control,scene2,23,B3,remembered,1
20,Control,scene2,27,X2,forgotten,2
20,Control,scene2,29,X4,remembered,1
20,Control,scene2,31,X5,forgotten,2
20,Control,scene2,33,X3,remembered,1
20,Control,scene2,36,A2,remembered,1
20,Control,scene2,40,B2,forgotten,1
20,Control,scene2,43,A3,remembered,2
20,Control,scene2,47,B3,forgotten,2
20,Control,scene2,51,X1,forgotten,1
20,Control,scene2,54,X4,remembered,2
20,Control,scene2,58,A1,remembered,2
20,Control,scene2,60,B1,forgotten,2
20,Control,scene2,63,X3,forgotten,2
20,Control,scene2,66,X1,forgotten,2
20,Control,scene2,69,X6,forgotten,1
20,Control,scene2,71,X3,remembered,3
20,Control,scene2,73,X5,forgotten,3
20,Control,scene2,76,A3,remembered,3
20,Control,scene2,78,B3,forgotten,3
20,Control,scene2,81,X3,remembered,4
20,Control,scene2,83,A2,forgotten,2
20,Control,scene2,85,B2,forgotten,2
20,Control,scene2,87,X2,forgotten,3
20,Control,scene2,89,A1,forgotten,3
20,Control,scene2,92,B1,forgotten,3
20,Control,scene2,95,X3,remembered,5
20,Control,scene2,99,X1,forgotten,3
20,Control,scene2,102,X6,forgotten,2
20,Control,scene2,104,X3,forgotten,6
20,Control,scene2,107,A3,remembered,4
20,Control,scene2,110,B3,forgotten,4
20,Control,scene2,113,A1,remembered,4
20,Control,scene2,115,B1,forgotten,4
20,Control,scene2,118,X2,remembered,4
20,Control,scene2,121,X4,remembered,3
20,Control,scene2,123,X5,remembered,4
20,Control,scene2,125,X6,remembered,3
20,Control,scene2,127,A2,forgotten,3
20,Control,scene2,131,B2,forgotten,3
20,Control,scene2,133,X5,forgotten,5
20,Control,scene2,135,A3,forgotten,5
20,Control,scene2,137,B3,remembered,5
20,Control,scene2,140,X6,forgotten,4
20,Control,scene2,143,X4,remembered,4
20,Control,scene2,146,X5,forgotten,6
20,Control,scene2,150,X3,remembered,7
20,Control,scene2,153,X1,forgotten,4
20,Control,scene2,157,X6,forgotten,5
20,Control,scene2,160,A1,remembered,5
20,Control,scene2,163,B1,remembered,5
20,Control,scene2,165,A2,forgotten,4
20,Control,scene2,168,B2,forgotten,4
20,Control,scene2,170,X1,remembered,5
20,Control,scene2,174,X2,forgotten,5
20,Control,scene2,177,A1,remembered,6
20,Control,scene2,179,B1,remembered,6
20,Control,scene2,181,X4,remembered,5
20,Control,scene2,183,X1,forgotten,6
20,Control,scene2,185,X2,forgotten,6
20,Control,scene2,189,X6,forgotten,6
20,Control,scene2,192,X2,forgotten,7
20,Control,scene2,194,X5,forgotten,7
20,Control,scene2,196,A2,remembered,5
20,Control,scene2,198,B2,forgotten,5
20,Control,scene2,202,A1,remembered,7
20,Control,scene2,204,B1,remembered,7
20,Control,scene2,208,A2,forgotten,6
20,Control,scene2,211,B2,forgotten,6
20,Control,scene2,215,X4,forgotten,6
20,Control,scene2,217,A3,remembered,6
20,Control,scene2,220,B3,forgotten,6
20,Control,scene2,223,A2,forgotten,7
20,Control,scene2,225,B2,forgotten,7
20,Control,scene2,228,X4,forgotten,7
20,Control,scene2,231,A3,remembered,7
20,Control,scene2,235,B3,remembered,7
20,Control,scene2,238,X1,remembered,7
20,Control,scene2,242,X6,forgotten,7
